tweet,date_time,real_distilbert_sentiment, real_sentiment
"🙌🏼 https://t.co/dnNEI4E16c",2016-05-13 01:52:00,positive,joy
"I love seeing you guys in the #RevivalTour line! Tweet me your pics and I’ll RT some of my favs. https://t.co/22DrQn1iPR",2016-05-11 20:53:00,positive,joy
"https://t.co/P9WTLmGiOG",2016-05-09 20:56:00,neutral,neutral
"Can’t believe it’s almost time for #RevivalTour! Getting ready for my 1st show with @Pantene. #StrongIsBeautiful https://t.co/yFtn2Oi7HV",2016-05-07 00:46:00,positive,joy
"I can't believe it's finally here.. see you tonight at the @RevivalTour!! 🎉",2016-05-06 23:21:00,positive,joy
"Stoked to see you guys wearing the stuff I've worked so hard on! Here's my merch https://t.co/pOCMcRzimQ",2016-05-02 18:53:00,positive,joy
"I'm happy you are coming on the road with me @beamiller !!! I can't wait to see everyone on the #revivaltour !",2016-04-21 00:16:00,positive,joy
"Had a moment to myself when I realized @NewGirlonFOX used one of my songs on the show... Emotional",2016-04-14 06:13:00,positive,joy
"@SameOldTay @haleyhartley___ but also -I’m excited i'm going to see YOU too! 😘",2016-04-12 18:18:00,positive,joy
"Hosting the official party after my concert in Vegas on May 6 at @thelightvegas! https://t.co/Rtmzymk7C9 https://t.co/3K5P30wxj0",2016-04-12 17:46:00,positive,joy
"Excited to be a finalist for 2 awards at the @BBMAs ! thank youuuu 🙌🏽 https://t.co/dZaFoceBYC",2016-04-11 22:37:00,positive,joy
"Sup Miami....- you see me I be work, work, work, work, work, work",2016-04-08 23:38:00,neutral,neutral
"#OG 🙌🏼 https://t.co/YAd6oUSd3s",2016-04-04 05:53:00,positive,joy
"💙 @iHeartRadio https://t.co/S2RhdW0WQz",2016-04-04 05:52:00,positive,joy
"Congrats to the man! @CalvinHarris ❤️ https://t.co/LUnoSExHLY",2016-04-04 05:51:00,positive,joy
"@selauren 😂😂😂 stay tuned!!",2016-03-31 20:40:00,positive,joy
"https://t.co/fU1BCQuydv",2016-03-26 08:46:00,neutral,neutral
"@claire__anne see you there!! 💜",2016-03-24 20:21:00,positive,joy
"Tour rehearsals... Can't wait to show you guys. I'll send a couple of videos soon 🔥🔥🔥",2016-03-22 00:33:00,positive,joy
"Nana is my sunshine https://t.co/cUENYnPuiU",2016-03-19 03:05:00,positive,joy
"Yo just know that I'm fully aware having the 'most' of anything isn't what's important. It's how you use your platform. Not how big it is",2016-03-17 22:28:00,neutral,neutral
"Emotional lol https://t.co/Azqx4Azrm6",2016-03-11 13:12:00,neutral,neutral
"Made my night ☺️ #loveyourfamily  https://t.co/ig6V7eOl8q",2016-03-09 21:42:00,positive,joy
"Happy #InternationalWomensDay to all the women out there. Let’s inspire &amp; support each other today &amp; everyday! 💪 https://t.co/JXFUrihw8s",2016-03-09 02:08:00,positive,joy
"Vibes https://t.co/jS6olju6s2",2016-03-08 22:59:00,neutral,neutral
"That time we got stuck in an elevator in Paris... https://t.co/14s6xRliqh",2016-03-08 19:31:00,neutral,neutral
"I love you guys so much💓 https://t.co/mSPGeQOo4W",2016-03-04 19:33:00,positive,joy
"SO excited! Tom is going to bring this to life in a unbelievable way 🙌🏼 good luck at the oscars! #SpotlightMovie https://t.co/1vJBDizw3e",2016-02-25 18:56:00,positive,joy
"SO excited to have @DNCE supporting me this summer on the #REVIVALtour!<br>https://t.co/eE7l4qviu4",2016-02-24 19:37:00,positive,joy
"Following me on @Snapchat, snap me pics of ur @Target #REVIVAL dlx album + @Pantene favs. U may get a surprise from me! http://t.co/ISeQpaW35M",2016-02-23 18:02:00,positive,joy
"@Zedd So much fun!!! I can’t believe it’s been a year. 🎉🎈🎶",2016-02-23 04:56:00,positive,joy
"Thank you to @BBCR1 for featuring #HandsToMyself as the #TrackOfTheDay. Turn it up loud, UK Selenators! https://t.co/sU95P99Gfp",2016-02-21 17:59:00,positive,joy
"Can I just say you guys look really good today? Tweet your @Pantene hairstyle w/#StrandsToMyself to enter to win! 💁 https://t.co/Ey1V1PvXBJ",2016-02-19 18:25:00,positive,joy
"I got to be in my best friends first Grammy award winning music video!!!!!!?! #Grammy9 @taylorswift13  https://t.co/jXlcvsaGni",2016-02-15 22:41:00,positive,joy
"An early Valentine’s Day gift for you guys… #REVIVAL is a special price on @applemusic US! 💋 https://t.co/iQtfmWZ83C https://t.co/bmF6ROjSiC",2016-02-12 18:07:00,positive,joy
"We won....  https://t.co/KlUN8WdHL8",2016-02-07 04:05:00,positive,joy
"@deejayquake play Ri Work #gospursgo",2016-02-07 02:27:00,neutral,neutral
"Thanks for listening to #HandsToMyself on @Spotify! It means SO much. In case you haven't…😏https://t.co/srn5tzkbtI https://t.co/08nDFfsdYY",2016-02-05 17:11:00,positive,joy
"I teamed up with @Genius &amp; @Spotify to tell the story behind #Revival! Go #BehindTheLyrics: https://t.co/7uwECJk3Me https://t.co/KjBaMUEPjG",2016-01-27 23:53:00,positive,joy
"FACTS https://t.co/zpgnB6m4B2 https://t.co/c91GkzBFlf",2016-01-27 21:44:00,neutral,neutral
"20M #HandsToMyself views in a week…What?!! Have I mentioned I have the best fans ever? I have the BEST FANS EVER. 😘 https://t.co/SNZujho3uF",2016-01-27 04:53:00,positive,joy
"You guys know #HandsToMyself is one of my favs on REVIVAL… Find out why in this interview from the set of the video!<br>https://t.co/6NTETwv8el",2016-01-26 22:22:00,positive,joy
"Thank you SO much @nbcsnl for a childhood dream come true #SelenaOnSNL 😳💜💜💜 https://t.co/h6fPXfgMup",2016-01-24 06:54:00,positive,joy
"I’m so excited for @nbcSNL tonight! @Shazam my performance to enter to win a pair of tix to my #REVIVALTour! https://t.co/p1J7MsNeCd",2016-01-23 19:54:00,positive,joy
"NY! Head to Times Sq. @BeatsByDre billboard 4-6 pm &amp; tweet a pic w/#SelenaBillboardNYC to enter to win tix to my NY show &amp; a #newbeatspill!",2016-01-22 20:51:00,positive,joy
"I'm adding a new #REVIVALTour date in Anaheim w/@CharliePuth! Presale starts Mon @ 10 am PT! https://t.co/vn03iSDk3J https://t.co/g17XCUcWJ4",2016-01-22 18:23:00,positive,joy
"Check out the exclusive REVIVAL box set, on sale now in my official store! 💿 https://t.co/nGpUyf72L8<br>https://t.co/vAnEwvY6Iq",2016-01-21 18:10:00,positive,joy
"You can ALSO go behind the scenes of the making of the Hands To Myself video! https://t.co/42T39D8nHH #WatchHandsToMyselfOnVEVO",2016-01-20 17:03:00,positive,joy
"The official video for “Hands To Myself” is now on VEVO!🚨 Watch it here: https://t.co/86lxEoJOTt  #WatchHandsToMyselfOnVEVO",2016-01-20 16:01:00,positive,joy
"Seth Rogen is hot. #Neighbors2<br><br>https://t.co/OTfJcsqOv2",2016-01-19 19:48:00,positive,joy
"🙋🏻 https://t.co/XWMFUEY581",2016-01-19 04:48:00,neutral,neutral
"The Same Old Love remix ft. @fettywap is out NOW on @applemusic! https://t.co/hpbwqOt0fw https://t.co/0NGVSd7XFQ",2016-01-08 04:40:00,positive,joy
"Have you seen the Big Short yet tho..... Just saying https://t.co/S2wz8AGKNL",2016-01-08 01:02:00,neutral,neutral
"Wish I could've been there @peopleschoice !!! THANK YOU GUYS for voting... For Mavis 🙈☺️ https://t.co/S03F3g8G20",2016-01-07 16:11:00,positive,joy
"Sooo I'm performing on @nbcsnl on 1.23!! What is life?? <br>I couldn't be more excited. GUYS.. SNL!!",2016-01-05 16:09:00,positive,joy
"💃 to my NYE playlist on @Spotify, ft. a new #SameOldLove remix by @greymusique!!  https://t.co/bg508AlBvK #SpotifyNYE",2015-12-31 23:16:00,positive,joy
"💕💕 https://t.co/BkO8ETtWPG",2015-12-24 22:41:00,positive,joy
"Sorry for snooping, Chris 😜",2015-12-21 23:55:00,neutral,neutral
"It’s here! Watch the #HandsToMyselfVideo directed by @AlekKeshishian on @AppleMusic! https://t.co/XllymAOZ0M https://t.co/Za1ozuwXyY",2015-12-21 23:54:00,positive,joy
"#HandsToMyselfVideo -tomorrow https://t.co/i1pxZCvUx2",2015-12-20 20:46:00,positive,joy
"#HandsToMyselfVideo. Monday. https://t.co/wmxaizYhWm",2015-12-19 02:52:00,positive,joy
"Coming soon #HandsToMyself<br>https://t.co/ypMUEEG5Vx",2015-12-18 16:35:00,positive,joy
"The last 3 years have been a blast! Thank you @adidasneo &amp; all my beautiful #neonators for the endless support! <br><br>https://t.co/HS464HK1mT",2015-12-16 14:59:00,positive,joy
"Casually seeing my face on the giant @beatsbydre billboard in Times Square… ahhhh!! #HandsToMyself vid coming soon! https://t.co/t2xkGhD6mV",2015-12-12 02:05:00,positive,joy
"The perfect way to end an amazing week -- #Z100JingleBall with @z100newyork!! 🎤",2015-12-12 01:16:00,positive,joy
"What truly matters #KillEmWithKindnessSelena -you guys are my entire world.",2015-12-10 21:11:00,positive,joy
"I had the most amazing time performing at the #VSFashionShow. Thank you, @victoriassecret! 💋https://t.co/SkI8LAqp3E",2015-12-09 17:03:00,positive,joy
".@Shazam my performance on tonight's #VSfashionshow to go behind-the-scenes of my @VictoriasSecret Angels lip sync! https://t.co/mKhkHzSVgd",2015-12-09 01:59:00,positive,joy
"Catch the sneak peak of my #HandsToMyself video featuring the #NewBeatsPill! 🎥<br>https://t.co/ZQTfAKUoH4",2015-12-07 14:06:00,positive,joy
"So excited for tonight’s @1027KIISFM's #KIISJingleBall at @StaplesCenter!",2015-12-05 02:18:00,positive,joy
"Love cozy winters! Share a photo with your #BFF &amp; tag @adidasneo to win a beanie for you both! #celebrate https://t.co/gltgJeA32K",2015-12-03 19:49:00,positive,joy
"I had SO much fun singing #HandsToMyself with the @VictoriasSecret Angels!! Don’t miss the #VSFashionShow 12.8! https://t.co/fismuhafSE",2015-12-01 17:00:00,positive,joy
"So the @VictoriasSecret Angels and I had a little #HandsToMyself sing-a-long… Check out the full video tomorrow!👯<br>https://t.co/rb2I6bvJP7",2015-11-30 17:00:00,positive,joy
"U.S. Selenators! It’s #REVIVALFriday on @AppleMusic🎈 https://t.co/SUblaa19lN https://t.co/jLNs6EMPl1",2015-11-27 19:24:00,positive,joy
"Thanks for having me, @theamas!! 💖Watch my performance of #SameOldLove here: https://t.co/DrIO7E4qTW",2015-11-24 23:17:00,positive,joy
"Amazing to finally see how the @adidasneo #myneoshoot turned out the past few weeks.Well done to everyone involved https://t.co/5Cjy5tK3hS",2015-11-23 18:39:00,positive,joy
"Tonight’s the night! Can't wait to perform at @TheAMAs LIVE at 8/7c on ABC. See you then. 💜 #RevivalAMAs https://t.co/QUgGNU3BEI",2015-11-22 19:04:00,positive,joy
"Follow @adidasneo for live #myneoshoot updates. Meet the models &amp; see how your decisions affected the photo shoot! https://t.co/7GRUiXP9K8",2015-11-13 21:30:00,positive,joy
"YOU can direct @adidasneo's spring campaign!Vote <br>now on https://t.co/bZXOfE1Xwa &amp; win cool <br>prizes too! #myneoshoot https://t.co/KliiVooxC5",2015-10-28 18:12:00,positive,joy
"Thank you to @BBCR1, @dev_101, @philytaggart, @Alicelevine &amp; @celspellman for all playing #SameOldLove as their Track of the Day!",2015-10-25 07:02:00,positive,joy
"Excited to perform at the @TheAMAs on 11.22! #RevivalAMAs https://t.co/zyyciO2PUQ",2015-10-21 14:40:00,positive,joy
"I just wanna say thank you to all you guys for the past few weeks. Reminds me of why I do what I do!",2015-10-20 20:19:00,positive,joy
"You can watch my exclusive #Revival #SaturdayNightOnline @AskAnythingChat w/@OnAirRomeo right now.🎉 http://t.co/oCqpzIdSv6 #AskAnythingChat",2015-10-17 23:55:00,positive,joy
"Tix for the first leg of the 2016 #REVIVALTour are on-sale today. Can’t wait to see you all! http://t.co/41jTzh5hPU http://t.co/AFvCudRrW7",2015-10-17 18:47:00,positive,joy
"AMEN 💜💙❤️  https://t.co/vZ05btgS8j",2015-10-17 17:56:00,positive,joy
"Had the best time reading everyone's #REVIVALstories -here's a sneak peak of one of my favorites. @instagram http://t.co/g2BMlVPYg0",2015-10-15 15:18:00,positive,joy
"Always fun to hang with my @MorningMashUp friends on @SiriusXMHits1. Thank you for supporting me from the start! 💓 http://t.co/lTLKWGqu4J",2015-10-13 19:05:00,positive,joy
"Like what the heck? Can you guys skip school and come to the @TODAYshow ?? I just want to hug you https://t.co/gmxFdlWfXb",2015-10-12 03:24:00,positive,joy
"Who's going to the @TODAYshow tomorrow??? Can't wait to see you outside Live at the TODAY Plaza!",2015-10-12 02:46:00,positive,joy
".@Shazam my performance on @TODAYshow tmrw to enter to win a #REVIVAL CD + signed poster! http://t.co/A7HAIPyHU9 http://t.co/nAsfm5RQnn",2015-10-11 23:33:00,positive,joy
"Follow me on @Snapchat, snap me pics of ur @Target #REVIVAL dlx album + @Pantene favs. U may get a surprise from me! http://t.co/ISeQpaW35M",2015-10-11 22:42:00,positive,joy
"Last chance for early tix access to #REVIVALTour 2016 w/merch bundles in the official store! http://t.co/1t5km9JtRx http://t.co/EJrfYVtqv0",2015-10-11 17:59:00,positive,joy
"my #Revival #SaturdayNightOnline @AskAnythingChat w/@OnAirRomeo is next sat at 8pm. send me your questions http://t.co/bs50LheNJt",2015-10-11 01:50:00,positive,joy
"I'll walk through the fire, I'll begin again... Get #REVIVAL on @amazonmusic: http://t.co/r6yBTOWgfo http://t.co/WaIGakK20h",2015-10-10 19:56:00,positive,joy
"Thank you so much for having (and scaring!😝) me, @theeellenshow. I had the best time performing "Same Old Love." http://t.co/jeTlOYgIza",2015-10-10 02:59:00,positive,joy
"Did you miss #REVIVALListeningParty? See the track by track and Q&amp;A Twitter Moment here: https://t.co/0THbfhNys7 http://t.co/Rz9E7QPCYN",2015-10-09 18:59:00,positive,joy
"Thanks to all the Selenators who joined the #REVIVALListeningParty. I love you guys so much! 💌 http://t.co/4ZIXbEoPkS",2015-10-09 17:39:00,positive,joy
"Honesty and compassion  https://t.co/0oaT6pqTyb",2015-10-09 16:58:00,positive,joy
"My actual girlfriends recorded the song with me 😚😍 https://t.co/BD78Q8sPly",2015-10-09 16:57:00,positive,joy
"First was Good for You and Sober. Last was Hands to Myself and Survivors  https://t.co/6qvsiTilcK",2015-10-09 16:57:00,neutral,neutral
"YAS 👍🏼❤️❤️❤️ https://t.co/Ru5qmHBbVN",2015-10-09 16:55:00,positive,joy
"Where I was/am. And everyone who inspired me.  https://t.co/d5g5EPiZjQ",2015-10-09 16:54:00,positive,joy
"Nobody and Revival  https://t.co/Lem3nacwWf",2015-10-09 16:48:00,neutral,neutral
"I don't think I ever thought I'd be here but I am beyond grateful  https://t.co/z7B0nDsfQd",2015-10-09 16:47:00,positive,joy
"Have no choice but to just feel the pain, ask a million questions, pick yourself up and move forward. It sucks.. https://t.co/uJHv42yTF0",2015-10-09 16:46:00,negative,sadness
"Kill em With Kindness or Rise   https://t.co/npT0mHR0ZO",2015-10-09 16:43:00,positive,joy
"That I wake up every day and get to do what I love with you and for you. I love you insanely too much 😘 https://t.co/QzSfFJQTG3",2015-10-09 16:42:00,positive,joy
"I will be... Stay tuned 😁😚😚😚 https://t.co/U24GMG4dRU",2015-10-09 16:41:00,positive,joy
"YES. We wrote/recorded Revival and Body Heat in Mexico!!  https://t.co/bQyyY9FwCW",2015-10-09 16:40:00,positive,joy
"Last but not least... 11. #Rise💫 #REVIVALListeningParty http://t.co/YjyiI3CmxO",2015-10-09 16:39:00,positive,joy
"Nobody and Revival. My love was unexplainable https://t.co/euSC1jpKrf",2015-10-09 16:39:00,positive,joy
"Revival for sure. Or Hand to Myself  https://t.co/br4njgh4sF",2015-10-09 16:38:00,positive,joy
"In this moment. I feel like a 10!! ☺️ https://t.co/evwVZ8TwYa",2015-10-09 16:36:00,positive,joy
"As always ☺️ I love you Brasil!!!!!!!!  https://t.co/S2GZFJCg2e",2015-10-09 16:36:00,positive,joy
"Working on the tour NOW  https://t.co/CuNuFlCtUP",2015-10-09 16:35:00,positive,joy
"10. #BodyHeat🔥 #REVIVALListeningParty http://t.co/XbWAFSKZRC",2015-10-09 16:35:00,positive,joy
"Inspirational, empowering  https://t.co/eg6fgYIHE2",2015-10-09 16:35:00,positive,joy
"Church!! 😎😍 https://t.co/vIeisV6Mm7",2015-10-09 16:34:00,positive,joy
"Zero. Even if it's sucked. Haha https://t.co/PN9cWHRhwT",2015-10-09 16:34:00,neutral,neutral
"9. #Survivors💪 #REVIVALListeningParty http://t.co/mpSiPOvFem",2015-10-09 16:32:00,positive,joy
"God. Nobody is about Him.  https://t.co/hzswMoocqZ",2015-10-09 16:30:00,positive,joy
tweet,date_time,real_sentiment,real_distilbert_sentiment
"We don't have to fall from grace. Put down the weapons you fight with. And kill em with kindness."" https://t.co/AFFujJDBIn",09/10/2015 16:29,positive,joy
"Not sure yet! What do you guys think should be the next single??? 😬 https://t.co/8nMLCDtime",09/10/2015 16:29,neutral,joy
"8. #MeAndTheRhythm💃 #REVIVALListeningParty http://t.co/ZP5naVo0uK",09/10/2015 16:28,positive,joy
"Much like the music the show will be equally sophisticated, fun and personal 💙 https://t.co/FtQd5pFcO2",09/10/2015 16:27,positive,joy
"The past two years of... Everything.  https://t.co/bLCKjgHAzN",09/10/2015 16:26,neutral,sadness
"Ahh I don't know. Maybe Body Heat  https://t.co/b5dYBJrI9q",09/10/2015 16:26,neutral,neutral
"Everything happens for a reason. Learn to grow from every single moment.  https://t.co/wcGXBpVOKE",09/10/2015 16:25,positive,joy
"I LOVE YOU!! I'm happiest that you get the record now!!! https://t.co/a53uKspuzy",09/10/2015 16:24,positive,joy
"7. #Camouflage 💞 #REVIVALListeningParty http://t.co/2zQe9YBLZs",09/10/2015 16:23,positive,joy
"What I wish I could tell everyone when they feel knocked down.  https://t.co/ASNVuibO2p",09/10/2015 16:23,positive,joy
"Yea at moments. Sometimes I had no idea how to say what I wanted to say.  https://t.co/AnOnpCJVp4",09/10/2015 16:23,neutral,sadness
"@angelfordelena @Spotify I write songs in bathrooms most. Haha",09/10/2015 16:22,neutral,joy
"@xjxexsxsxyx IM SO HAPPY!!",09/10/2015 16:21,positive,joy
"@selenaownsus probably kill me with kindness and Survivors!!",09/10/2015 16:21,positive,joy
"6. #GoodForYou💎 #REVIVALListeningParty http://t.co/V642Lfmdsi",09/10/2015 16:20,positive,joy
"5. #Sober 😌 #REVIVALListeningParty http://t.co/19YwMUbdlO",09/10/2015 16:17,neutral,neutral
"4. #SameOldLove💕 #REVIVALListeningParty http://t.co/A0Np1vCSqq",09/10/2015 16:14,positive,joy
"3. #HandsToMyMyself #REVIVALListeningParty http://t.co/QybwyyWZIf",09/10/2015 16:12,neutral,neutral
"2. #KillEmWithKindness #REVIVALListeningParty http://t.co/uOdVcm8baV",09/10/2015 16:05,positive,joy
"First up: #Revival. #REVIVALListeningParty http://t.co/YK7QTeFsLc",09/10/2015 16:01,positive,joy
"#REVIVALListeningParty starts in 1 min! Tweet me Q's &amp; get ready to play REVIVAL on @Spotify http://t.co/4ZIXbEoPkS http://t.co/DwqXPxzHho",09/10/2015 15:59,positive,joy
""What I've learned is so vital More than just survival This is my #REVIVAL Now on @applemusic! http://t.co/SUblaaiKKn http://t.co/1Rlozl72Jx""",09/10/2015 04:25,positive,joy
"I'm hosting a #REVIVALListeningParty and Q&amp;A on Twitter tomorrow! Get ready to hit play on @Spotify @ 9 am PT. 🎶 http://t.co/nSfuieBNlu",08/10/2015 19:45,positive,joy
"Official REVIVAL lyrics are now on @Genius http://t.co/Pg5Zv9Rb4a. Tweet me your favorite #REVIVALLyrics! http://t.co/G5vf1sdsPG",08/10/2015 16:54,positive,joy
"I couldn't wait to share with you...Here are clips of every song on REVIVAL! #REVIVALRevealed https://t.co/HvnZdQwGG9 http://t.co/6vtMJWftYR",08/10/2015 02:07,positive,joy
"#SameOldLoveVideo is now on @VEVO!! Thanks to all the Selenators who were a part of it! 👯 http://t.co/9w9tTDucql http://t.co/kobsRKL1m9",07/10/2015 16:04,positive,joy
"Love you! 💕 https://t.co/I4q78bQhsO",05/10/2015 17:47,positive,joy
"#REVIVALTour dates are up! Preorder a REVIVAL bundle to get early tix. See you soon! Xo http://t.co/dY78xssXYX https://t.co/Faoc7FLo29",05/10/2015 13:05,positive,joy
"Preorder #REVIVAL, out Friday, on @googleplay! xo http://t.co/jpTZT4gVTA https://t.co/3J0hQDScpz",05/10/2015 06:01,positive,joy
"Send your questions NOW for my #SaturdayNightOnline @AskAnythingChat http://t.co/bs50LgXckT and watch it 10/17 8p w/@OnAirRomeo",04/10/2015 01:22,neutral,neutral
"The rumors are true... #REVIVALTour is coming! Info on early tix at http://t.co/LAlWYIlVZh. Stay tuned for more! http://t.co/I4Gqj4CVcD",02/10/2015 18:01,positive,joy
"Surprise! Preorder REVIVAL now &amp; get one of my favs from the album #MeAndTheRhythm💃instantly! http://t.co/SUblaa19lN http://t.co/j0UiuZMJU1",02/10/2015 04:03,positive,joy
"I have another #REVIVAL sneak peek for you tonight... http://t.co/9AgKUZXPAt",02/10/2015 00:58,positive,joy
"Preorder #REVIVAL, exclusive products and early ticket access 😏 only at http://t.co/1t5km9JtRx http://t.co/ltpwZ7fStq",28/09/2015 17:32,positive,joy
"@hoxxtmez most precious. Theresa almost cried. 😍❤️ Je t'aime http://t.co/CBZZqVCt4y",28/09/2015 09:41,positive,joy
"LOVE you @chattyman -drinks and fun  https://t.co/JGXx9L7Qgg",25/09/2015 22:36,positive,joy
"I mean, this is what it's about.... ☺️ http://t.co/4ykG0mlzl0",25/09/2015 22:33,positive,joy
"How fun! I got to call a bunch of fans and surprise them! -so rad 💜 you!  https://t.co/9HCKP20lgy",25/09/2015 22:16,positive,joy
"#KillEmWithKindness 💙 ☺️",25/09/2015 22:03,positive,joy
"Being on hold with @R1Breakfast isn't bad... Discover great music ☺️ #ILoveLondon http://t.co/Jg2EIL65O5",25/09/2015 09:06,positive,joy
"THE ONE. This chick is the reason Same Old Love happened #beast #babe #wcw @charli_xcx http://t.co/wH7XMGkMhr",24/09/2015 23:05,positive,joy
"Goodnight London 😋 http://t.co/JoyTK60QKF",24/09/2015 00:26,neutral,neutral
"REVIVAL press all day. She's pretty ☺️ http://t.co/NFPBVRyEwy",23/09/2015 17:32,positive,joy
"It's here!! Watch the official video for #SameOldLove on @applemusic now! http://t.co/3OKYcdIGOm http://t.co/pu82moHE4U",22/09/2015 22:54,positive,joy
"The official video for #SameOldLove directed by Michael Haussman and starring YOU GUYS drops today! http://t.co/5nNnT7AqDc",22/09/2015 09:11,positive,joy
"Before it begins, he is a good one. He is MY FRIEND only lol http://t.co/jtCCYIrWG8",21/09/2015 18:21,neutral,neutral
"I want to congratulate my absolute favorite @amyschumer !! I've watched since it began and I'm so happy! #stalker ☺️ https://t.co/J3CeIUVpKn",21/09/2015 16:46,positive,joy
"You ☺️ http://t.co/9w5FRxdB8o",20/09/2015 11:28,positive,joy
"London!!! You make me smile. But maybe not as much as you guys do :) thank you for being insanely kind.",20/09/2015 11:07,positive,joy
"Had major anxiety at the airport. Not feeling good at all..",19/09/2015 23:42,negative,fear
