tweet,date_time,real_sentiment,real_distilbert_sentiment
Check out #Chantaje ft @Maluma on @Spotify's Viva Latino playlist! Chantaje está en la playlist Viva Latino! ShakHQ… https://t.co/jcNur1vfCL,05/01/2017 17:24,joy,positive
Acabamos de conocer que #Chantaje con @maluma tuvo este fin de año 2.45 millones de reproducciones en @Spotify! SHQ https://t.co/EAtARlrG6F,04/01/2017 19:26,joy,positive
We just heard that #Chantaje ft @Maluma had its highest ever daily @Spotify plays on NYE- 2.45m! Thanks guys! ShakHQ https://t.co/EAtARlrG6F,04/01/2017 19:24,joy,positive
Linda razón para desconcentrarse jugando al golf con Chantaje! What a good reason to get distracted while playing g… https://t.co/Rs3DKsufnq,04/01/2017 15:45,joy,positive
Feliz 2017 de los Piqué Mebarak! Happy 2017 from the Piqué Mebarak family! https://t.co/XIayfbHnZK,31/12/2016 22:58,joy,positive
Gracias a todos por regalarme un año más disfrutando de hacer música y compartiéndola con ustedes! Mucha paz y aleg… https://t.co/B7xJ7YNs7m,31/12/2016 22:26,joy,positive
"Thank you all for giving me another year of enjoying music-making and sharing it with all of you! Lots of love, pea… https://t.co/PCdQ9xQ6pQ",31/12/2016 22:25,joy,positive
Quién ha incluido Chantaje en su playlist de @Spotify de fin de año? Nos indican dónde van a celebrarlo? https://t.co/EAtARlrG6F ShakHQ,31/12/2016 14:53,joy,positive
Who's got Chantaje on their @Spotify NYE playlist for tonight? Let us know where you’re partying! ShakHQ https://t.co/EAtARlrG6F,31/12/2016 14:51,joy,positive
"Mejor regalo de Navidad, imposible! #Chantaje es #1 en la Lista de @Los40_Spain!  https://t.co/9llf49mAaE ShakHQ https://t.co/koZk2VDSrJ",25/12/2016 15:12,joy,positive
Feliz Navidad! Los quiero! Shak https://t.co/VeI9kXP0YM,24/12/2016 21:34,joy,positive
Los jugadores de la @FCBEscola celebrando su participación en el Torneo Las Américas con La Bicicleta! Shak https://t.co/6FHt3emYox,22/12/2016 16:27,joy,positive
Happy Holidays! / Feliz Navidad! ShakHQ https://t.co/XASTSrobuz https://t.co/usgKgr16vn,21/12/2016 20:19,joy,positive
"200 millones de visitas para nuestro video Chantaje en un mes, 200 millones de gracias! 😘 Shak https://t.co/gwYGo1adam",20/12/2016 22:51,joy,positive
"200 million views for Chantaje in one month! Thank you all so, so much! Shak https://t.co/BCgALplmDe",20/12/2016 22:51,joy,positive
"Con Bea Matallana, en mi camerino, antes de sacar a pasear a Pig Floyd 🐷 https://t.co/xNnotmcQeF",18/12/2016 18:31,joy,positive
"With Bea Matallana in my dressing room, getting ready to take my pig for a walk. https://t.co/asxzrhX56u",18/12/2016 18:31,joy,positive
"#Chantaje es la primera canción en español en @Spotify (y una de las más reproducidas alrededor del mundo)
ShakHQ https://t.co/pLd2EnCUDw",16/12/2016 17:27,joy,positive
#Chantaje is the #1 Latin song on @Spotify (and among the most-streamed tracks worldwide!) ShakHQ https://t.co/pLd2EnCUDw,16/12/2016 17:26,joy,positive
A @radiomixfm esteve no lançamento do #Dance da Shak e aproveitou para fazer umas perguntinhas dos fãs para ela. SHQ https://t.co/4MQMZhWBtS,15/12/2016 19:42,joy,positive
Raise a glass! The #Chantaje video ft @maluma has reached 150m views! ShakHQ https://t.co/tHUvjmRSql,14/12/2016 17:09,joy,positive
Brindemos por ello! El video de Chantaje con @maluma ya tiene 150 millones de reproducciones! ShakHQ https://t.co/guwH7VHuKl,14/12/2016 17:08,joy,positive
#Chantaje 🎻👏 ShakHQ https://t.co/Vdu8e6jjfc,13/12/2016 19:41,joy,positive
#Chantaje entra en el listado de las mejores canciones de este año de @billboard en la posición #22! ShakHQ https://t.co/V8E2rXGOJb,13/12/2016 15:24,joy,positive
#Chantaje has made it to #22 in @Billboard's 100 Best Pop Songs of 2016! ShakHQ https://t.co/V8E2rXGOJb,13/12/2016 15:23,joy,positive
It’s @UNICEF’s 70th anniversary! What I want #foreverychild is access to a quality education. Shak,13/12/2016 03:16,joy,positive
Amazing #Chantaje moves from @Gianluca_Vacchi &amp; Giorgia Gabriele! Un video increíble de @Gianluca_Vacchi y Giorgia… https://t.co/Niyj7rKURi,13/12/2016 00:17,joy,positive
Check out this amazing collection of @zumba dancers worldwide getting down to Chantaje! ShakHQ https://t.co/SBsmw9wyFy,12/12/2016 17:59,joy,positive
VIDEO: Practicando @zumba alrededor del mundo a ritmo de #Chantaje! ShakHQ https://t.co/u4iDFY81mp,12/12/2016 17:58,joy,positive
No wonder I get burned with curling irons all the time/ Ya sé porque me quemo con las tenacillas todo el tiempo! No… https://t.co/hKEfAQYWBT,11/12/2016 21:43,sadness,neutral
"En esta foto cuando estábamos en construcción la playa, con DAYANA la campeona Panamericana @fpiesdescalzos https://t.co/6w2t2OpCbt",10/12/2016 21:15,joy,positive
Qué lindo escucharlos cantar chantaje! Un beso para ti @maluma y todos en Argentina!! Shak https://t.co/abHSucvyWU,10/12/2016 19:58,joy,positive
No se pierdan este video de #Chantaje con una coreografía espectacular de @WilldaBeast__ https://t.co/6UAVkFCScq ShakHQ,09/12/2016 18:12,joy,positive
"Check out this amazing #Chantaje dance video, choreographed by @WilldaBeast__ https://t.co/8HBbtLvhNQ ShakHQ",09/12/2016 18:11,joy,positive
Felicidades @NairoQuinCo! 🇨🇴 Shak  https://t.co/2kX7NPvEKm,29/08/2016 19:18,joy,positive
"I call this part of the beach ""Tailandia"" Shak #LaBicicleta #tbt https://t.co/8cyNMSbNE7",25/08/2016 18:29,joy,positive
Hard at work. Shak https://t.co/5qC2bMmbRB,24/08/2016 20:37,joy,positive
"Ya se descargaron la aplicación GROW que Shak desarrolló con @FisherPrice? https://t.co/2DYRANXD3g ShakHQ
https://t.co/EhuPcGmbRf",24/08/2016 18:33,joy,positive
"Check out the free GROW parenting app, which Shak developed with @FisherPrice https://t.co/2DYRANXD3g ShakHQ
https://t.co/mLZTXimFCE",24/08/2016 18:31,joy,positive
Video: @soffyml on Instagram #LaBicicletaKids @carlosvives ShakHQ 🚲 https://t.co/aFXABV6BXT,23/08/2016 01:56,joy,positive
Video: @cervantesied on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/Womo4KeJBb,20/08/2016 18:30,joy,positive
Qué alegría! #Oro y #Bronce para Colombia en Río! Felicitaciones @MarianaPajon y @RamirezBmx! Shak,20/08/2016 00:16,joy,positive
Celebren la llegada del fin de semana con este remix de @maluma de #LaBicicleta en @Spotify https://t.co/6MP13PRSNj ShakHQ CC: @carlosvives,19/08/2016 20:12,joy,positive
Celebrate the weekend with the new @maluma remix of La Bicicleta on @Spotify! ShakHQ CC: @carlosvives https://t.co/6MP13PRSNj,19/08/2016 20:10,joy,positive
"In the studio with my homies Stephen, Supa and Dave and the birthday boy Luisfer Ochoa! Shak https://t.co/TBtSNaSvPc",17/08/2016 11:12,joy,positive
"""Shakira Shares Adorable Videos of Kids Dancing to Her Song La Bicicleta"" @enews #LaBicicletaKids ShakHQ   https://t.co/gadgoZ53HL",15/08/2016 20:48,joy,positive
Video: @jackiee80 on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/wfV6kHFA7T,15/08/2016 19:09,joy,positive
Feliz con los éxitos de Colombia en #Rio2016. Felicitaciones Catherine y Óscar por hacernos soñar con el Oro! Vamos por más! Shak,15/08/2016 18:03,joy,positive
El video de #LaBicicleta con @carlosvives certificado por @vevo al superar los 100 millones de reproducciones https://t.co/cIZ5hrHysg ShakHQ,13/08/2016 20:49,joy,positive
The video for #LaBicicleta has just been @Vevo Certified for 100m views! @CarlosVives  https://t.co/cIZ5hrHysg ShakHQ 🚲💯✔️,13/08/2016 20:48,joy,positive
Video: @lorenagomezfernandez on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/MgoG7Ctimj,13/08/2016 12:02,joy,positive
Video: @piita5 on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/5oUUPKVODT,13/08/2016 11:56,joy,positive
Late night delirium in the studio with Nasri from @ournameisMAGIC and @SupaDups! Shak https://t.co/yit4dm1emd,12/08/2016 19:28,joy,positive
Flares https://t.co/StDlmnUhnG,11/08/2016 14:37,joy,positive
"""Los niños más adorables bailando 'La Bicicleta' de Shakira y @carlosvives"" vía @Univision ShakHQ🚲 #LaBicicletaKids  https://t.co/BaW9iN4Xp0",11/08/2016 11:38,joy,positive
Video: @natalia.rincontorres on Instagram #LaBicicletaKids 🚲 ShakHQ @carlosvives https://t.co/6CF9exERbm,10/08/2016 22:35,joy,positive
Video: @dreaffogle on Instagram #LaBicicletaKids 🚲 ShakHQ https://t.co/WIhutxRqBX,09/08/2016 20:46,joy,positive
Video: @josebw on  Instagram #LaBicicletaKids 🚲🚲🚲  ShakHQ https://t.co/yeC1v8GONy,09/08/2016 20:42,joy,positive
Video: @susankdelarosa on Instagram #LaBicicletaKids 🚲 ShakHQ https://t.co/XHB6oSsdHm,09/08/2016 20:40,joy,positive
Video: @mariavanessa03 on  Instagram #LaBicicletaKids 🚲🚲🚲  ShakHQ https://t.co/qWKD2p35XG,09/08/2016 20:37,joy,positive
Muchas gracias por todos los videos que nos mandaron con #LaBicicletaKids... Aquí algunos de nuestros favoritos. ShakHQ🚲,09/08/2016 20:28,joy,positive
Thank you for all the amazing #LaBicicletaKids videos. Here are some of our favorites… ShakHQ 🚲,09/08/2016 20:28,joy,positive
Feliz cumpleaños @carlosvives https://t.co/SrsnIDH5MJ,07/08/2016 21:55,joy,positive
Nos muestran los bailes de sus hijos usando el hashtag #LaBicicletaKids? Vamos a compartir nuestros favoritos! ShakHQ,06/08/2016 17:36,joy,positive
Show us your kids moves by tagging #LaBicicletakids and we'll share our favorites! ShakHQ,06/08/2016 17:35,joy,positive
.@ivanrakitic's daughter dancing to #labicicleta. Sooo cute! Shak https://t.co/KgxEgEXsph,06/08/2016 17:34,joy,positive
Barranquilla más linda que siempre! #tbt Shak https://t.co/vpUmfufloD,04/08/2016 19:54,joy,positive
Countryside! Shak https://t.co/yzGQHVg9Rb,02/08/2016 14:38,joy,positive
With @carlosvives! #LaBicicleta https://t.co/THBtE93qb9,30/07/2016 20:05,joy,positive
"The #LaBicicleta video now has 50M views!
El video de La Bicicleta ya tiene más de 50M de reproducciones! 
https://t.co/H8LiEMR8bW 
ShakHQ 🚲",28/07/2016 15:00,joy,positive
Nada puede competir con cantar con amigos en un auto! https://t.co/H8LiEMR8bW) ShakHQ #LaBicicleta @carlosvives https://t.co/NS24hb19Sr,27/07/2016 14:39,joy,positive
You can’t beat a car singalong! (Watch the full #LaBicicleta video at https://t.co/H8LiEMR8bW now.) ShakHQ https://t.co/7CsqDy8yqo,27/07/2016 14:36,joy,positive
Papa’s hair!! https://t.co/LHxnp7ypyE,24/07/2016 16:35,joy,positive
To be or not to be (blonde) that is the question! Shak https://t.co/Jyyenupw5L,22/07/2016 14:25,joy,positive
"Muchas gracias a todos los fans que compartieron sus recuerdos en la web de #LoveRock https://t.co/vCfHZ9VJoN ShakHQ
https://t.co/yETuekTnq1",21/07/2016 13:57,joy,positive
"Thanks to everyone who sent their Shak memories to the #LoveRockByShakira site! https://t.co/j1VoMMUQrO ShakHQ
https://t.co/n7R424PvFT",21/07/2016 13:53,joy,positive
Recordando el concierto Por La Paz en 2008 con @CarlosVives! Feliz día de la Independencia #Colombia. https://t.co/6k9ekis08n,20/07/2016 18:21,joy,positive
Remembering the concert for the Peace in 2008 with Carlos Vives! Happy Independence Day Colombia! https://t.co/2iVAap2Rh7,20/07/2016 18:19,joy,positive
"De “la"" bicicleta al caballo y del caballo a “la bicicleta"" Shak https://t.co/RVznP0kHcv",19/07/2016 15:20,joy,positive
Hola! Ya han hecho el test de #LaBicicletaQuiz? Nos comparten su puntaje? https://t.co/3G41sT5zWc ShakHQ https://t.co/VmCeCcuREG,18/07/2016 13:35,joy,positive
"Hey, did you take #LaBicicletaQuiz yet? Let us know your score! https://t.co/cJddlOuMpo ShakHQ https://t.co/WN8H6VfBZy",18/07/2016 13:32,joy,positive
Hagan el test #LaBicicletaQuiz para poner a prueba sus conocimientos sobre la canción y el vídeo! https://t.co/I4YNbswzQG ShakHQ 🚲,16/07/2016 13:48,joy,positive
Take the #LaBicicletaQuiz to test your knowledge of the new song &amp; video - then let us know your score! https://t.co/RhPlU3GB17 ShakHQ 🚲,16/07/2016 13:47,joy,positive
"Ciruela, corozo, guayaba agria y mango verde! #LaBicicletavideo Shak https://t.co/8WFze9VwUM",14/07/2016 15:07,joy,positive
Empire ya es el decimocuarto video de Shak certificado por @Vevo al superar las 100 millones de ▶️ ! https://t.co/4ThNJ5Wzdk 🎉 ShakHQ,13/07/2016 16:14,joy,positive
"The Empire video just became Shak's 14th video to be @Vevo certified for 100m views! https://t.co/4ThNJ5Wzdk 🎉
 ShakHQ",13/07/2016 16:11,joy,positive
With Friend @KathyKopp / Con mi amiga Kathy Kopp #LaBicicletaVideo https://t.co/cIZ5hrHysg Shak https://t.co/tlGzcxUIeq,12/07/2016 19:42,joy,positive
Ten million views!! 10 millones de reproducciones!! #LaBicicletaVideo @CarlosVives https://t.co/H8LiEMR8bW ShakHQ https://t.co/iG5gQvCeCU,11/07/2016 20:18,joy,positive
With director @JaumedeLaiguana eating mango with salt and pepper #LaBicicletaVideo https://t.co/cIZ5hrHysg https://t.co/HdrbM0PXfU,09/07/2016 16:01,joy,positive
A million views in 16 hours! Un millón de reproducciones en 16h! #LaBicicletaVideo https://t.co/cIZ5hrHysg ShakHQ https://t.co/FbiHHzIVBs,08/07/2016 23:26,joy,positive
Here it is! Ya está aquí! #LaBicicletaVideo @CarlosVives https://t.co/H8LiEMR8bW 🇨🇴🚲🇨🇴🚲🇨🇴🚲🇨🇴🚲🇨🇴,08/07/2016 12:57,joy,positive
"Tomorrow... Mañana... #LaBicicletaVideo #8July #8deJulio @CarlosVives 🚲,joy,positive
https://t.co/ZpAZgv6hfF",07/07/2016 23:19,joy,positive
https://t.co/ZpAZgv6hfF",07/07/2016 23:19,joy,positive
"What us girls have to go through to get a selfie / Lo que tenemos que hacer las chicas para tomar un selfie Shak https://t.co/75Lm0hXs5y",07/07/2016 18:28,joy,positive
Stay tuned for the behind the scenes of this selfie / No se pierdan el cómo se hizo de un selfie! Shak https://t.co/Yha671js9v,07/07/2016 17:23,joy,positive
"Are you ready? Preparados? #LaBicicletaVideo #8July #8deJulio @CarlosVives 🚲 https://t.co/HQ83lOqS4k",06/07/2016 19:57,joy,positive
"#LaBicicletaVideo #8July #8deJulio @CarlosVives 🚲 https://t.co/UpPzvVqPgg",05/07/2016 20:08,joy,positive
With @TheAnnaKaiser @AKTINMOTION! Girl power!! Shak https://t.co/9LO7bInTj0,30/06/2016 15:44,joy,positive
Con mi primita Adri por el Sena! Shak https://t.co/sMh5l0iZEC,29/06/2016 23:01,joy,positive
Wonder where he gets it from... / Nos preguntamos a quién salió… ShakHQ https://t.co/DdmJ5BJaon,29/06/2016 18:23,joy,positive
.@carlosvives consolando a Milan ante el gol de Italia. Shak https://t.co/ZUgaL2OIZO,29/06/2016 16:03,joy,positive
The first time in history that a couple both score goals in the Eurocup - Piqué and Shaquiri!!!,25/06/2016 17:39,joy,positive
Es la primera Eurocopa en la que marca una pareja Piqué y Shaqiri!!!,25/06/2016 17:39,joy,positive
With a giant ear in Madrid! Shak https://t.co/h5jwslBT2r,24/06/2016 18:00,joy,positive
No es momento de bajar los brazos sino de seguir luchando por la igualdad de oportunidades https://t.co/AZuhoZU5H3 Shak,23/06/2016 12:37,sadness,neutral
"Más de 4,000 personas en Argentina bailando la coreografía de @zumba de #LaBicicleta con @ZumbaBeto! ShakHQ https://t.co/2ODbI5Igq8",22/06/2016 16:59,joy,positive
"Another 4,000+ people in Argentina doing the @zumba choreography to #LaBicicleta! ShakHQ https://t.co/7uaiLXKbMO",22/06/2016 16:56,joy,positive
"En ""la Bicicleta"" por un rincón de Francia! On my ""Bicicleta"" in the French countryside! Shak https://t.co/a0Qv3LpHuL",19/06/2016 20:34,joy,positive
A semifinales! ⚽️ Vamos Colombia! ❤️🇨🇴,18/06/2016 13:56,joy,positive
Presupuesto permanente aprobado por el Senado para la primera infancia en Colombia https://t.co/Dvzz1DkKyv,16/06/2016 21:47,joy,positive
Colores del verano / Summer colors. Shak https://t.co/cwLfUX2LeM,15/06/2016 12:05,joy,positive
"Gol de Piqué, gol de España! Shak https://t.co/Xg7FPCSJHK",13/06/2016 15:37,joy,positive
Celebrando el gol de papa con La Roja!! https://t.co/g9rKp3OROq,13/06/2016 15:13,joy,positive
Try Everything from #Zootopia is up for a @TeenChoiceFOX Award! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong https://t.co/T41pyDpWLA,11/06/2016 19:11,joy,positive
Try Everything de #Zootopia está nominada en los @TeenChoiceFOX! https://t.co/8T9HS06yYt ShakHQ #ChoiceMovieTVSong! https://t.co/72GiYhpljL,11/06/2016 19:10,joy,positive
NUEVO VIDEO! Canten utilizando el nuevo video con la letra de #LaBicicleta de @carlosvives y Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,10/06/2016 15:41,joy,positive
NEW VIDEO! Sing along to the official lyric video for #LaBicicleta by @CarlosVives and Shak! https://t.co/IEmCYHQ9Ci ShakHQ 🚲🎤,10/06/2016 15:39,joy,positive
"Wow! 4,000 personas bailando la coreografía oficial de @zumba de #LaBicicleta con @ZumbaBeto​! https://t.co/QmDCniKQ46 ShakHQ",08/06/2016 19:32,joy,positive
"4,000 people doing the official @zumba choreography to #LaBicicleta! https://t.co/QmDCniKQ46 ShakHQ CC: @ZumbaBeto",08/06/2016 19:31,joy,positive
#LaBicicleta Número uno! ShakHQ 🚲 https://t.co/PcPYLtt5dI,07/06/2016 15:07,joy,positive
".@el_pais: ""‘La bicicleta’: la canción del verano llega desde el Caribe colombiano"" https://t.co/HXXLUzX9Bj ShakHQ @carlosvives",03/06/2016 15:44,joy,positive
Seguimos buscando las mejores iniciativas en #PrimeraInfancia! Postúlate antes de Jul 31 #PremiosALASBID @MorenoBID https://t.co/lVDAgAn7Ib,02/06/2016 14:39,joy,positive
"Thanks everyone for making La Bicicleta 🚲 a viral hit, things are really rolling now! Shak https://t.co/trFhB1YjxY",02/06/2016 11:37,joy,positive
"Gracias a todos por hacer La Bicicleta 🚲 un hit viral, esto va “sobre ruedas” Shak https://t.co/bUPSltNrnz",02/06/2016 11:36,joy,positive
Listen to #LaBicicleta / Ya pueden escuchar #LaBicicleta en @Spotify https://t.co/3VAWYQks9O ShakHQ🚲,01/06/2016 20:47,joy,positive
"No se pierdan #LaBicicleta - el nuevo sencillo de @CarlosVives y Shak - ya disponible en descarga y stream! ShakHQ🚲 https://t.co/oBtzP6iVng",31/05/2016 18:53,joy,positive
"Check out #LaBicicleta - the new single from @carlosvives and Shakira - available to download &amp; stream now! ShakHQ 🚲 https://t.co/mjv3igA2Ns",31/05/2016 18:51,joy,positive
"Só na @sephorabrasil: com o seu novo perfume Rock!, ganhe os itens de beleza indispensáveis de Shakira! https://t.co/nrrET8yf1w ShakHQ",31/05/2016 15:22,joy,positive
El video Try Everything de #Zootopia ya tiene 100M de ▶️! Es el 13ro video certificado de Shakira en @Vevo! https://t.co/TVVArw03nB ShakHQ,30/05/2016 16:55,joy,positive
Try Everything from @DisneyZootopia just became Shak's 13th video to be @Vevo certified for 100m views! https://t.co/TVVArw03nB ShakHQ,30/05/2016 16:54,joy,positive
Junior tu papá! #LaBicicleta https://t.co/nh4UVFnMzo 🚲 #videoshoot https://t.co/Trcu1YOtqU,28/05/2016 23:09,joy,positive
#LaBicicleta #1 🇨🇴 🚲 🇧🇴 🚲 🇨🇱 🚲 🇨🇷 🚲 🇪🇨 🚲 🇸🇻 🚲 🇵🇦 🚲 🇵🇪 https://t.co/nh4UVFnMzo ShakHQ,28/05/2016 00:06,joy,positive
Awesome concert! Thanks @coldplay and Chris for the Amazing hospitality! Shak https://t.co/65VxE1WbUl,27/05/2016 23:26,joy,positive
"Ya está aquí la bicicleta! Colombia, verano, Vives, lo mejor de mi tierra! Shak #LaBicicleta @carlosvives",27/05/2016 14:41,joy,positive
EL NUEVO SENCILLO YA ESTÁ AQUÍ! #LaBicicleta de @carlosvives y Shakira. iTunes: https://t.co/nh4UVFnMzo https://t.co/2mdRKqQ5Rs ShakHQ 🚲,27/05/2016 12:20,joy,positive
NEW SINGLE OUT TODAY! #LaBicicleta @CarlosVives &amp; Shakira. iTunes: https://t.co/nh4UVFnMzo https://t.co/2mdRKqQ5Rs ShakHQ 🚲,27/05/2016 12:18,joy,positive
Para celebrar el lanzamiento de la canción #LaBicicleta de mañana hoy un #tbt de Shak y Gerard en 🚲 en 2013 ShakHQ https://t.co/hhVAvhO9Lj,26/05/2016 21:48,joy,positive
#TBT to celebrate tomorrow's release of #LaBicicleta -Shak and Gerard cycling in 2013!  ShakHQ 🚲 https://t.co/8Vdt95Pveq,26/05/2016 21:46,joy,positive
Nos encanta este arte de @alcantaramanuel del sencillo de @carlosvives y Shak #LaBicicleta (llega este Viernes) SHQ https://t.co/5YdnshD1Yc,25/05/2016 15:38,joy,positive
Love this fan art by @alcantaramanuel celebrating @carlosvives and Shak's new single #LaBicicleta (out Friday!) SHQ https://t.co/D8CqxEdXPA,25/05/2016 15:37,joy,positive
5.27.16 #labicicleta 🚲 @carlosvives https://t.co/tWmnEpkLzW,25/05/2016 14:04,joy,positive
Votación histórica! Shak  https://t.co/NMuOQGmLJD,24/05/2016 22:42,joy,positive
Feliz con la aprobación en el Congreso de la Ley por la Primera Infancia! 57 de 58 votos!! Shak,24/05/2016 22:33,joy,positive
"Óyeme Carlos llévame en tu bicicleta, que si a Pique algún día le muestras el Tairona después no querrá irse pa' BCN https://t.co/PdO6rtZjbL",24/05/2016 22:21,joy,positive
"Shakira: ""La paz es más que una firma, es un compromiso de voluntades donde la base de todo es la igualdad"" https://t.co/ag4Vxf9Yij ShakHQ",22/05/2016 13:33,joy,positive
"""#LaBicicleta es una canción que nos representa a los dos"". Vean la rueda de prensa de ayer de Shakira https://t.co/ag4Vxf9Yij  ShakHQ",22/05/2016 13:30,joy,positive
"""Es una tragedia humana lo que está ocurriendo en La Guajira"" https://t.co/bISYXgbyyC",21/05/2016 23:41,sadness,negative
"""La igualdad, es la base de una Paz en Colombia"" https://t.co/iGU79ENnJ5",21/05/2016 22:05,joy,positive
"""La paz es más que una firma, es un compromiso de voluntades donde la base de todo es la igualdad"" https://t.co/mCDzQFjIjm",21/05/2016 22:03,joy,positive
Shakira aboga por la niñez y la educación en Colombia  https://t.co/uuWE3ufnlT,21/05/2016 22:02,joy,positive
"Empezando el recorrido en ""la bicicleta / Going for a ride on #laBicicleta🚲  @carlosvives https://t.co/Cm7Zj697Ro",20/05/2016 17:29,joy,positive
He esperado todo el día para ésto!! Shak https://t.co/8T6HCFWzAX,20/05/2016 02:26,joy,positive
Tomando una panorámica de Barranquilla! / Taking a panoramic view of Barranquilla! Shak https://t.co/qH5EYDzMbm,19/05/2016 21:05,joy,positive
Sasha se me está creciendo!  Shak https://t.co/H0o79mxqD3,19/05/2016 14:07,joy,positive
Camino a mi tierra! Shak https://t.co/MghDzgQlkS,18/05/2016 22:04,joy,positive
Estudiantes de la FPD de Colombia visitan Barcelona para el #DesafioEmprende y conocen a Shak https://t.co/2jOcpWVuPH ShakHQ @FundlaCaixa,18/05/2016 20:19,joy,positive
Students from FDP's schools in Colombia visit Barcelona for #DesafíoEmprende conference and meet Shak https://t.co/2jOcpWVuPH SHQ @educaixa,18/05/2016 20:18,joy,positive
Is it summer yet?  Shak https://t.co/OduCkqFeU9,12/05/2016 17:08,joy,positive
"Esta ley merece ser aprobada en el Congreso-nada más importante que el desarrollo de la primera infancia https://t.co/GjMgt9njYW Shak",12/05/2016 13:53,joy,positive
"Shak conoció a los estudiantes de la @fpiesdescalzos, finalistas en el #DesafíoEmprende de @FundlaCaixa ShakHQ https://t.co/Uxx8Klqu5k",09/05/2016 19:37,joy,positive
Shak met with @fpiesdescalzos' school students from Colombia - finalists of @FundlaCaixa's #DesafioEmprende! ShakHQ https://t.co/TkIlZRJu0D,09/05/2016 19:36,joy,positive
Gracias a todas las mujeres que cuidan y protegen a los niños! Ustedes son las verdaderas heroínas! Feliz día de la madre! Shak,08/05/2016 19:01,joy,positive
Thanks to all the women who care for and protect children. You are the true heroes! Happy Mother's Day! Shak,08/05/2016 18:57,joy,positive
"#TBT to five years ago today, when Shak played Budapest! 🇭🇺 Hace 5 años hoy: Shak en Budapest! https://t.co/Ui4Ojqh6ee ShakHQ",05/05/2016 20:35,joy,positive
Shak diseñó este pelón de @juegaterapia para ayudar a los niños enfermos y está en https://t.co/uRsYdUJXiA! ShakHQ https://t.co/6bAQaljtxx,02/05/2016 19:40,joy,positive
"El video Te Aviso, Te Anuncio de Shak con más de 100M de ▶️! 12 videos certificados en @Vevo ShakHQ https://t.co/SMfOgBDdVr",01/05/2016 19:35,joy,positive
"Shak's Te Aviso, Te Anuncio video has just become her 12th to reach 100m @Vevo views! https://t.co/beDhqQr1Qx ShakHQ",01/05/2016 19:25,joy,positive
"Thank you all and @manaoficial for making these 3 #Billboards2016 awards possible! Love you, Shak https://t.co/oNHQkjz2sq",29/04/2016 16:25,joy,positive
Muchas gracias a Uds y a @manaoficial por hacer posible estos premios #Billboards2016! Los quiero mucho! Shak https://t.co/Gtu3g20pTz,29/04/2016 16:23,joy,positive
