tweet,date_time,real_distilbert_sentiment,real_sentiment
"“Celebrate every cherished relationship, be better than last year and enjoy life!” #WHPresolutions
https://t.co/sFVZ5jdlSH",06/01/2017 15:30,joy,positive
"A note of happiness and thanks, every day of the year #WHPresolutions
https://t.co/qxRWU7qxxU",06/01/2017 03:30,joy,positive
"Gearing up for the Golden Globes with @TheMandyMoore
https://t.co/M2WVauuiKR",05/01/2017 23:30,joy,positive
“Travel can really open up your mind to how others live around the world.” —photojournalist @davillasana https://t.co/tsllwCOgiB,05/01/2017 21:30,joy,positive
"5 countries, 16 days: traveling for @nytimes 52 Places to Go in 2017 with @davillasana https://t.co/BuKeGxqV6O",05/01/2017 20:30,joy,positive
2017 goals = “Keep dreaming.” #WHPresolutions https://t.co/QqJ2spL4Pl,05/01/2017 15:30,joy,positive
“I want to create a sense of story to my shots.” —photographer Andy Merkel #WHPresolutions https://t.co/WWZaCS31ga,05/01/2017 03:30,joy,positive
🦄 + ☕️ = this magical drink (via @bravotv) https://t.co/hEwNJOf5Lt,05/01/2017 00:46,joy,positive
"Over three years, a photo evolves and grows for #WHPresolutions https://t.co/Fn92vNNMCi",04/01/2017 15:30,joy,positive
Leaping into the new year for #WHPresolutions https://t.co/Dkw9b9WY5m,04/01/2017 03:30,joy,positive
🐱 + 🐶 = 💕  (and today’s #WeeklyFluff!) https://t.co/CsXx83aoWW,03/01/2017 23:30,joy,positive
Relishing the simple things with actor @sterlingkb1 https://t.co/UOCgz2Ia4w,03/01/2017 18:30,joy,positive
"Celebrating a first with Golden Globe-nominated actress @lilycollins
https://t.co/zkAWWI1b27",02/01/2017 17:30,joy,positive
"This grandpa’s drawings connect his family around the world
https://t.co/HDhEofu6fP",01/01/2017 17:30,joy,positive
Happy New Year from @RyanSeacrest — here’s to an amazing 2017! https://t.co/qdseY1agao,01/01/2017 05:58,joy,positive
"Our #BoomerangOfTheWeek is closing out 2016 with an enormous pop &amp; a lot of sparkle 
https://t.co/Ft5iLtfl0z",31/12/2016 20:30,joy,positive
Share your 2017 celebrations on your Instagram story! 🎉 https://t.co/0riUGx6y0q,31/12/2016 16:00,joy,positive
"#DailyFluff
https://t.co/LUvfxwzfNl 🐾 https://t.co/nyl0tkxdOG",31/12/2016 12:03,joy,positive
Participate in this weekend’s hashtag project: #WHPresolutions https://t.co/SzUtW2mGPC https://t.co/vlfzrexhkq,30/12/2016 22:30,joy,positive
"From North Dakota to Antarctica: Checking in with @CamilleSeaman
https://t.co/z4MJBnun7u",30/12/2016 20:30,joy,positive
"UFC star Ronda Rousey is motivated by redemption (and revenge) 
https://t.co/kATgnMmWjK",30/12/2016 17:30,anger,negative
"A spontaneous human wave at Telkom University #WHPcometogether
https://t.co/npIIMpwtZz",30/12/2016 15:30,joy,positive
"#DailyFluff
https://t.co/bQebCytupc 🐾 https://t.co/GaldRFdF7y",30/12/2016 12:03,joy,positive
"The periodic table of elements comes to life in Ankara, Turkey #WHPcometogether
https://t.co/Y9feKmsOiL",30/12/2016 03:30,joy,positive
"Supporting Syria’s refugees with @CookForSyria 
https://t.co/EOWToj590R",30/12/2016 02:30,sadness,negative
“I truly think she’s a kind and amazing person.” —Fernando Monroy on @selenagomez  https://t.co/sb2tX2Sfs9,29/12/2016 20:30,joy,positive
"Your #WeeklyFluff = Kuzya, the costumed cat
https://t.co/Y2Z8KjvQUn",29/12/2016 18:30,joy,positive
"An adorable baby’s doll party #WHPcometogether
https://t.co/Pt8zhrqEbm",29/12/2016 15:30,joy,positive
"#DailyFluff
https://t.co/AutIT6pCvK 🐾 https://t.co/VEX1sYzfiO",29/12/2016 12:03,joy,positive
Hawaiian water meets the sky for #WHPcometogether https://t.co/vm2atiiSBB,29/12/2016 03:30,joy,positive
Watch our Instagram story with @James_Suter at the @careforwild rhino sanctuary! https://t.co/iYXTM5lquD,28/12/2016 20:30,joy,positive
"Tackling the plight of the rhino with @James_Suter
https://t.co/u9OlSSBeAp",28/12/2016 16:30,sadness,negative
A handful of holiday memories all in one Boomerang for #WHPcometogether https://t.co/Y2YqQDMbc3,28/12/2016 15:30,joy,positive
"#DailyFluff
https://t.co/CAmPmC1Hmt 🐾 https://t.co/kYPFz0x3aQ",28/12/2016 12:03,joy,positive
A freezing — but festive — swim in Chicago for #WHPcometogether https://t.co/IY2ixI9N1l,28/12/2016 03:30,joy,positive
Featured submissions from this weekend’s hashtag project: #WHPcometogether https://t.co/JnGjJMWOLL,28/12/2016 01:30,joy,positive
"May the force be with you, Princess ✨  RIP Carrie Fisher https://t.co/jebeyfe9cH",27/12/2016 23:30,sadness,negative
One of our favorite trends on Instagram in 2016 = the #MannequinChallenge https://t.co/sQ9xt9Xx0W,27/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/YOCJrHWRr2 🐾 https://t.co/CvUsALEAk3",27/12/2016 12:02,joy,positive
Dispelling and dismantling myths with Mama Cax https://t.co/wyBlnFxCG0,26/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/0EHWpeZhrY 🐾 https://t.co/cyjfEZg4zR",26/12/2016 12:03,joy,positive
Take a spin around the world with @guardiancities' favorite photos of the year 🌍 https://t.co/tcbV7x3YyM,26/12/2016 00:33,joy,positive
A little reminder that the spirit of Santa is everywhere. Merry Christmas! 🎅🌟 https://t.co/rpLjIDba1A,25/12/2016 18:30,joy,positive
Just in time for your holiday party: Christmas tree hair 💁🎄https://t.co/8Tu3XAOSdm,25/12/2016 14:16,joy,positive
"#DailyFluff
https://t.co/c5nQspOUn7 🐾 https://t.co/K8ME7LTfty",25/12/2016 12:03,joy,positive
"""The emotion that is in the image is most important."" –@ruddyroye (via @CBSNews) https://t.co/DDMV3LCHFZ",25/12/2016 00:35,joy,positive
An Italian greyhound transforms into a twinkling reindeer 🌟https://t.co/1hW87738oH #BoomerangOfTheWeek,24/12/2016 23:30,joy,positive
Lighting the Hanukkah candles with Foxy Foxenberg 🕯 https://t.co/S73FIh7zel,24/12/2016 18:30,joy,positive
Happy holidays! Share your festive moments on Instagram stories. ❄️ https://t.co/1CGSPkFNat,24/12/2016 16:00,joy,positive
"#DailyFluff
https://t.co/p99uYoRB3O 🐾 https://t.co/qll5rKp3JB",24/12/2016 11:04,joy,positive
Planning your next trip just got way more fun 🏝😎 (via @jess_ismore @HPLifestyle) https://t.co/EJwGOtA4LL,24/12/2016 02:49,joy,positive
"May your days be meow-y and bright! 
❤️, the #ChristmasCatsOfInstagram 
(via @mashable) 
https://t.co/vUhrFpHAJG",24/12/2016 01:13,joy,positive
Participate in this weekend’s hashtag project: #WHPcometogether https://t.co/7fNtaKWq9S https://t.co/nSlLuugaBu,23/12/2016 22:30,joy,positive
Carving out a new career with maker Luke Hope https://t.co/e9a74UK4lu,23/12/2016 20:30,joy,positive
"#DailyFluff
https://t.co/u6wcgKilsH 🐾 https://t.co/tJ1bZ8A3Iw",23/12/2016 12:17,neutral,neutral
Turning emoji into 💵  with @terez 🍕😬 (via @nytimes) https://t.co/Yp0mWlL6zr,23/12/2016 06:23,joy,positive
"“Everybody Eats is about being selfless and saying, ‘Me and you, we’re in this together.’” –@COLDGAMEKELV (👀 him on our story!)",23/12/2016 02:35,joy,positive
"#EverybodyEats: Squad philanthropy with @coldgamekelv
https://t.co/m7pyg2TjtH",23/12/2016 00:18,joy,positive
"#DailyFluff
https://t.co/Fg0KSVqGJ3 🐾 https://t.co/B1cAZfE969",22/12/2016 12:04,joy,positive
Now on our story: Playing with your food featuring @DominiqueAnsel https://t.co/AqM5FvbGDd,22/12/2016 04:30,joy,positive
Taking the domino effect to the next level with @crump #WHPboomerangoftheyear https://t.co/bNhdWMAGbe,22/12/2016 03:30,joy,positive
Watch our story for a glimpse into the holidays at @DominiqueAnsel’s kitchen https://t.co/vyoiFKHkIE,21/12/2016 20:30,joy,positive
"Hello, world! Meet the cookie-balancing canine, Chester! https://t.co/gWfH3bsvW5",21/12/2016 18:30,joy,positive
#Protip for your next Instagram story: go hands-free and record a video with just one tap! 🙌🏼  https://t.co/JQgae1SSXk,21/12/2016 16:00,sadness,negative
.@Floyd_TheLion: A Persian cat with the heart of a lion (and solid high-fiving skills) #WHPboomerangoftheyear https://t.co/zfKYUgtMcO,21/12/2016 15:30,joy,positive
"#DailyFluff
https://t.co/Hgs73HmUyp 🐾 https://t.co/fpxmxrYzqi",21/12/2016 12:04,joy,positive
⚡️ strikes for #WHPboomerangoftheyear https://t.co/8hvb6KvFgP,21/12/2016 03:30,joy,positive
Make sure your plants stay Instagram-ready with this advice from @geo_fleur!🌿 #InstaGiftGuide https://t.co/nzxpAsVDhp (via @TheDebrief),21/12/2016 00:16,joy,positive
“New York is special because of how rapidly the city changes.” —@HumzaDeas https://t.co/rxtXQjWnMN,20/12/2016 20:30,joy,positive
The most Instagrammed city in 2016? NYC 🗽 https://t.co/CugRuExt30,20/12/2016 19:15,joy,positive
Make your stories even more joyful! Try our new holiday stickers &amp; candy cane brush! 🎨https://t.co/JQgae1SSXk https://t.co/dFjyyfhwss,20/12/2016 18:00,joy,positive
"Starting today, you can add stickers to your stories! 💖 https://t.co/JQgae1SSXk https://t.co/hueVO0SW1N",20/12/2016 17:04,joy,positive
"#DailyFluff
https://t.co/mOBHvPW5ij 🐾 https://t.co/GnTzJtn4NG",20/12/2016 13:05,joy,positive
"A touch of love #WHPboomerangoftheyear
https://t.co/KC9GW01faA",20/12/2016 03:30,joy,positive
"Featured submissions from this weekend’s hashtag project: #WHPboomerangoftheyear
https://t.co/6GXs5V26Yd https://t.co/i3PU4EqUHz",20/12/2016 01:30,joy,positive
"An unimpressed cat and a stunning view #TheWeekOnInstagram
https://t.co/nme8mF9p3F",20/12/2016 00:45,joy,positive
"“The birds in the picture stand for us all. I have made them to send solidarity around the world.” —Mirja Aleem ❤️
https://t.co/oztXzmnnTH",19/12/2016 22:26,joy,positive
“We’re beautiful people with rich culture and language.” —@NyleDiMarco https://t.co/HsIqsnKf1H,19/12/2016 20:30,joy,positive
Advocating for the deaf community with @NyleDiMarco https://t.co/YUDMjHMUL8,19/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/PdE49g9FNK 🐾 https://t.co/kJB5cbA23d",19/12/2016 11:34,joy,positive
All hail Helen Mirren's selfie game 👑 (via @USATODAY) https://t.co/VS7XENUbQi,19/12/2016 01:41,joy,positive
"Finding inspiration from Sri Lanka’s stilt fisherman #TheWeekOnInstagram
https://t.co/QAlWSigGpj",19/12/2016 00:45,joy,positive
"Take cover! ❄️ It’s time for our #BoomerangOfTheWeek
https://t.co/csxtanq5QE",18/12/2016 23:30,joy,positive
Your weekend is about to get a whole lot happier ❤️ 🐶 https://t.co/crJDsl7Sg8 (via @AOLLifestyle),18/12/2016 20:35,joy,positive
"A human butterfly spreads her wings #TheWeekOnInstagram
https://t.co/b86TgKF5kV",18/12/2016 00:45,joy,positive
"The Week on Instagram | 265
https://t.co/Breb46PhI1 https://t.co/0aLJ4Ia9Cs",17/12/2016 23:30,joy,positive
"#DailyFluff
https://t.co/XHEdaLmeU3 🐾 https://t.co/ok96ZvLRXm",17/12/2016 21:10,joy,positive
Happening now on our Instagram story: @gilesclement shows us how to make tintype photographs https://t.co/S4Ax8kXBJU,17/12/2016 19:56,joy,positive
"Dazzling lights symbolize hope and recovery in Kobe, Japan ✨
https://t.co/3O3IBg329B",17/12/2016 18:30,sadness,negative
"Participate in this weekend’s hashtag project: #WHPboomerangoftheyear 
https://t.co/lGHPNP3DPu https://t.co/0ZAsFSRboG",16/12/2016 22:30,joy,positive
For @sweetandhome1 no baked treat is complete without a touch of home https://t.co/w28y0NkN4P,16/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/AygZCaebLk 🐾 https://t.co/WFC7oW8Vxv",16/12/2016 16:55,joy,positive
"Savoring the small, happy moments #WHPframeit https://t.co/qCsa5UgZL1",15/12/2016 15:30,joy,positive
"Today we’re proud to announce a community of more than 600 million. From all of us at Instagram, thank you. ❤️… https://t.co/5zZBxFVMZ7",15/12/2016 14:05,joy,positive
"#DailyFluff
https://t.co/qQ4ZlFFOdA 🐾 https://t.co/AJXTF9VWtQ",15/12/2016 11:02,joy,positive
Framing life in vibrant Old Havana #WHPframeit https://t.co/SsDb0mNS6w,15/12/2016 03:30,joy,positive
Why paint in shadows when you can create real ones? https://t.co/B4Lzsms7AR,15/12/2016 01:30,joy,positive
"“#MyStory is about imagination, agility and love.” —GIMICO
https://t.co/Ebh9kLMqMu",14/12/2016 16:00,joy,positive
"Looking back and forth on a long, winding road for #WHPframeit https://t.co/4Zy2bJMgkH",14/12/2016 15:30,joy,positive
Now there’s a place to save all the Instagram posts you ❤️  https://t.co/XbElSjCEKu https://t.co/OJEXUzmFiT,14/12/2016 15:02,joy,positive
"#DailyFluff
https://t.co/4SzJk0K5dJ 🐾 https://t.co/WN1587y42O",14/12/2016 14:00,joy,positive
"Steam and dumplings in a Seoul street #WHPframeit
https://t.co/81Oc9H7TUh",14/12/2016 03:30,joy,positive
"The unyielding determination of Japanese model @GIMICO_gds
https://t.co/ciVkNC8cs6",13/12/2016 23:30,joy,positive
"#DailyFluff
https://t.co/X3JWkJnJ5m 🐾 https://t.co/qcakz7UYCg",13/12/2016 20:00,joy,positive
"Meet Chocolate! Today’s prickly but sweet #WeeklyFluff
https://t.co/JcNhkmvoTt",13/12/2016 18:30,joy,positive
"A lone figure stands surrounded for #WHPframeit
https://t.co/NYFNOhvgZ9",13/12/2016 15:30,joy,positive
"Framing a backflip is all about finding the right shape #WHPframeit
https://t.co/GZu4oRQsTX",13/12/2016 03:30,joy,positive
"Featured submissions from this weekend’s hashtag project: #WHPframeit
https://t.co/Q3rN27q8wX https://t.co/UFLbeCtCZV",13/12/2016 01:30,joy,positive
A steam train rolls through the foggy Scottish Highlands #TheWeekOnInstagram https://t.co/FugRLNudXC,13/12/2016 00:45,joy,positive
"Seeking the surprises in every day with Vladimir Kutenkov
https://t.co/lJ3uKVLyUW",12/12/2016 20:05,joy,positive
“There are surprises all around you — it’s just that sometimes we fail to notice.” —Vladimir Kutenkov https://t.co/XPgLWrs0Xo,12/12/2016 19:15,joy,positive
Thanks for joining us! Live video on Instagram Stories is rolling out globally in the next few weeks. Learn more: https://t.co/Y3uGVcKtzz,12/12/2016 18:13,joy,positive
"🚨 Right now! 🚨
Join our co-founders Kevin &amp; Mike on a LIVE tour of Instagram HQ
https://t.co/0ZMkk1ACV4",12/12/2016 17:55,joy,positive
We’re celebrating this week’s release of LIVE video in the US! Join us live on Instagram in a just few minutes 🎉… https://t.co/KwTzVQCFmi,12/12/2016 17:45,joy,positive
"#DailyFluff
https://t.co/pNlrkdMFTg 🐾 https://t.co/zMschApW55",12/12/2016 14:00,joy,positive
Watch our Instagram story to hang with the cast of @FastFurious in NYC #F8 https://t.co/m9O6ax9sxk,12/12/2016 05:44,joy,positive
"A stroll along the Khalkhal-Asalem road in northern Iran #TheWeekOnInstagram
https://t.co/uYU3KkTe82",12/12/2016 00:45,joy,positive
"One man’s missed shot is our #BoomerangOfTheWeek. 
https://t.co/Psj00pHRfb",11/12/2016 23:30,joy,positive
"Taking in the wonder of India’s @magneticfields with Ankha Millo
https://t.co/UZqnK1KmjW",11/12/2016 01:30,joy,positive
"A cat’s gaze illuminated in the dark #TheWeekOnInstagram
https://t.co/Vz2wruSplg",11/12/2016 00:45,joy,positive
"The Week on Instagram | 264
https://t.co/aOsoQADqb3 https://t.co/hbsPNCffxZ",10/12/2016 23:35,joy,positive
"“When I tell them I was a refugee myself, suddenly the barriers fall and the hearts open.” —Zalmai #HumanRightsDay https://t.co/iRxKEMIhI8",10/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/p6dyORbWc9 🐾 https://t.co/hRYS3paSTp",10/12/2016 14:00,joy,positive
"Participate in this weekend’s hashtag project: #WHPframeit
https://t.co/wnUegr0JlJ https://t.co/2LMUqMSir7",09/12/2016 23:30,joy,positive
"#DailyFluff
https://t.co/tun45aYp0f 🐾 https://t.co/YGsid45jSA",09/12/2016 14:00,joy,positive
"“I need to experiment and renew myself every day.” —Franck Pellegrino
https://t.co/XYZ3H9PXcJ",08/12/2016 23:30,joy,positive
Collage artist Beth Hoeckel leads us through her creative process ✂️ https://t.co/K6J3l3iINR,08/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/ZIdEuyniYb 🐾 https://t.co/vHqxpDc2vh",08/12/2016 17:30,joy,positive
Boredom in a California hotel room leads to an action-packed submission to #WHPmagic https://t.co/eN0VXdxkYp,08/12/2016 03:30,joy,positive
Need some dad-spiration? Follow Francis Chan and his twins 👯https://t.co/bNiHc6pOGk,07/12/2016 23:30,joy,positive
And the top 10 emojis on @instagram of 2016 are... https://t.co/UhAYA2j7BO https://t.co/PlWHjyqvpz,07/12/2016 16:53,joy,positive
Ascending a Mars-like landscape in Malaysia for #WHPmagic https://t.co/AliQgJp9eF,07/12/2016 15:30,joy,positive
"#DailyFluff
https://t.co/l3ceTL0vkB 🐾 https://t.co/RGsDmWAy82",07/12/2016 14:00,joy,positive
Fancy feet leap for #WHPmagic https://t.co/Q3zFTHzD4w,07/12/2016 03:30,joy,positive
"A tree grows legs in Oregon #TheWeekOnInstagram
https://t.co/3SrxQBOanG",07/12/2016 00:45,joy,positive
.@valiswiser is on a mission to help people overcome obstacles https://t.co/123NTCE8hs,06/12/2016 21:30,joy,positive
“The most important thing is to always be yourself.” —@Simone_Biles https://t.co/6KfUYop0Ep,06/12/2016 18:30,joy,positive
How @Simone_Biles stays grounded while her career takes off https://t.co/1dTjLax9Lw,06/12/2016 16:28,joy,positive
We’re introducing 2 new ways to keep Instagram welcoming and safe https://t.co/VKMionSFZq https://t.co/RfaSiBumQx,06/12/2016 15:01,joy,positive
"#DailyFluff
https://t.co/5NldduEhST 🐾 https://t.co/Lmr5Z9Wv0N",06/12/2016 14:00,joy,positive
"An enchanted reaction to a bite of cake #WHPmagic
https://t.co/gNb64qChyX",06/12/2016 03:30,joy,positive
"Featured submissions from this weekend’s hashtag project: #WHPmagic
https://t.co/txadOAqtbO https://t.co/CAFbycTyGA",06/12/2016 01:30,joy,positive
Reflecting on the shores of the Brahmaputra River. #TheWeekOnInstagram https://t.co/3QjCuIFA4l,06/12/2016 00:45,joy,positive
"Meet today’s #WeeklyFluff, Alfie and Biscuit 🐰 🐰 https://t.co/pNJuFb2rH4",05/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/CCMXOEHf4N 🐾 https://t.co/Rp1QG4SCYa",05/12/2016 16:45,joy,positive
"A golden retriever partakes in the simple joy of digging a hole at a beach in Japan. #TheWeekOnInstagram
https://t.co/wdphEdhjK4",05/12/2016 00:45,joy,positive
"Welcome to @bakedideas’ world of cookies #NationalCookieDay
https://t.co/kMBAwaA25Y",04/12/2016 23:30,joy,positive
Meet the incredible 9-year-old who wears his imagination on his sleeve https://t.co/ix7pc9FDGS (via @BabbleEditors),04/12/2016 16:30,joy,positive
"In Berlin, a floating pool is transformed into a winter market #TheWeekOnInstagram
https://t.co/8MNifggdRO",04/12/2016 01:35,joy,positive
"The Week on Instagram | 263
https://t.co/H6QbpNFKNz https://t.co/swAXvmwZTc",04/12/2016 00:45,joy,positive
"A new (unlikely) friendship = our #BoomerangOfTheWeek
https://t.co/7J4yrEFgyV",03/12/2016 23:30,joy,positive
Watch our Instagram story to see what a day is like for singer and songwriter @johnlegend https://t.co/G5j2z8Aoaa,03/12/2016 17:48,joy,positive
"#DailyFluff
https://t.co/WuIwnYAqPj 🐾 https://t.co/CKt1Ey6f5r",03/12/2016 14:00,joy,positive
"Participate in this weekend’s hashtag project: #WHPmagic 
https://t.co/dg4Y2oGPWx https://t.co/CifH90HSTL",02/12/2016 22:30,joy,positive
"“The thing that makes me #PerfectlyMe is growing into old age positively, not invisibly.” —@alternativeage https://t.co/QifYmh7Cxm",02/12/2016 18:30,sadness,negative
"#DailyFluff
https://t.co/X2iwCY5hRr 🐾 https://t.co/RmUU234dA7",02/12/2016 17:30,joy,positive
"Travel the dreamy worlds of photo artist Romain Nicoloso
https://t.co/ERIWzs3npT",01/12/2016 23:30,joy,positive
“They’re meant to be very personal images.” —Gabrielle Menezes https://t.co/d9mlDc1GSa,01/12/2016 19:15,joy,positive
Fighting stigma and finding compassion on #WorldAIDSDay https://t.co/mDBahFp2rw,01/12/2016 18:30,joy,positive
"#DailyFluff
https://t.co/tgfPhAlCWM 🐾 https://t.co/OzQU3TJpvw",01/12/2016 17:17,joy,positive
An imagined city scene celebrating the natural world for #WHPthisishome https://t.co/Uq3iayVIb9,01/12/2016 15:30,joy,positive
A moody submission to #WHPthisishome captures the quietness of a Massachusetts town https://t.co/dmQzESuhki,01/12/2016 03:30,joy,positive
“They gave me hope — to keep fighting to save our planet.” —@NyimasLaula https://t.co/rHaBiSXf9x,30/11/2016 21:30,joy,positive
Going deep with free diving photographer @NyimasLaula https://t.co/x1eigNld1i,30/11/2016 20:30,neutral,neutral
“If you don’t like how I look; keep scrolling.” 💅🏻 —@VanierDanielle https://t.co/U8uGjOZAnZ,30/11/2016 19:15,joy,positive
We’re channeling @VanierDanielle’s confidence and beauty #PerfectlyMe https://t.co/9v5BOmzo0S,30/11/2016 18:30,joy,positive
"A childhood ballet performed for a captive, cuddly audience #WHPthisishome https://t.co/dm6ThHUdGH",30/11/2016 15:30,joy,positive
"#DailyFluff
https://t.co/AdDhmUQMlC 🐾 https://t.co/SVD5mgEMlK",30/11/2016 14:00,joy,positive
A simple sketch of small comforts #WHPthisishome https://t.co/HKb87x9yQJ,30/11/2016 03:30,joy,positive
Reeling in the daily catch from @pescalobonito ⚓️🐠 https://t.co/r2LskGdxf6,29/11/2016 23:30,joy,positive
"On this sad day, our thoughts are with Chapecoense and the Brazilian community. #ForcaChapecoense 🇧🇷",29/11/2016 21:16,joy,positive
"Hello, world! Today’s #WeeklyFluff = unlikely (but precious) pals 🐶 🐱 https://t.co/lnuvzjLmyN",29/11/2016 18:30,joy,positive
"Appreciating life on Earth for #WHPthisishome
https://t.co/2B69jaBr8t",29/11/2016 15:30,neutral,neutral
"#DailyFluff
https://t.co/n7tkTyr0ZL 🐾 https://t.co/TR5pcV9uc3",29/11/2016 14:00,joy,positive
"Family cuddles on a lazy Sunday #WHPthisishome
https://t.co/staARUxT92",29/11/2016 03:30,joy,positive
"Featured submissions from this weekend’s hashtag project: #WHPthisishome
https://t.co/JJmu3S0CmN https://t.co/kGz5sUKBBU",29/11/2016 01:30,joy,positive
