tweet,date_time
President Obama lays out just a few of the ways in which #Obamacare has helped millions of Americans. https://t.co/qeqHRLz0ID,27/10/2016 18:55
New report: Renewable energy installations are beating fossil fuel installations for the first time. https://t.co/MMhIdu4jzt #ActOnClimate,27/10/2016 17:04
Obamacare has helped millions of Americans gain the peace of mind that comes with coverage. Show your support: https://t.co/NfrG7DHL5C,27/10/2016 15:27
"This is what happens when we focus on building an economy that works for everyone, not just those at the top. https://t.co/op3Z74rPeI",26/10/2016 19:32
"No one's too wrapped up in pre-existing conditions to #GetCovered. 
Thanks to Obamacare, you can find a plan that m… https://t.co/C7H9TZdxeU",26/10/2016 17:33
Help protect the progress we've made in helping millions of Americans get covered. Add your name now: https://t.co/HQSZKPl1eH,26/10/2016 16:26
DYK: Most people can find a plan for less than $75 per month. Open enrollment starts on November 1. #GetCovered https://t.co/9RGG5Pr4mb,26/10/2016 15:01
"Women, the sick, survivors—they all deserve fair treatment in our health care system. #Obamacare https://t.co/G948HN7pzV",25/10/2016 19:55
Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/wJZj1QCxXm https://t.co/vwwDgFHq6A,25/10/2016 18:01
Be proud of the progress we've made together—wear the mark of this movement. https://t.co/fYf2O9WAwG https://t.co/1Z4yJmYh4E,25/10/2016 15:25
Strong policies that help working families get ahead are good for our economy. https://t.co/QRRhibjZCl,24/10/2016 21:32
The four-week average of jobless claims fell to the lowest level since 1973—a sign of a healthy labor market. https://t.co/Lv7DnRM2DY,24/10/2016 20:11
"Since 2010, America's uninsured rate has been cut in half. Help build on that progress—join Team #Obamacare today: https://t.co/MhIICuE17A",24/10/2016 18:52
"Health care is a right, not a privilege—and #Obamacare works to protect that right for millions of Americans. https://t.co/B7fO8rhggW",24/10/2016 15:21
Don't get tripped up by misinformation. Join the @OFA Truth Team today: https://t.co/09BpA6F9Ne https://t.co/Nxgp87o4iq,21/10/2016 20:47
Being able to stay on a parent's plan enables millions of young adults to make choices about their future with the… https://t.co/1lSzxCHZVf,21/10/2016 16:40
"""Because of Obamacare, another 20 million Americans now know the financial security of health insurance."" https://t.co/eNd6J8bMxm",21/10/2016 14:55
Stand up for the law that's helped 20 million more Americans gain health coverage. Join Team @Obamacare today: https://t.co/XiNXrgnPoF,20/10/2016 20:42
"There's still more work to do, but let's celebrate how far we've come. https://t.co/kUVWn68kJw",20/10/2016 18:47
LIVE: President Obama is in Miami talking about the progress made possible by the Affordable Care Act. https://t.co/7FsQXut07O,20/10/2016 17:52
Tune in at 1:55 p.m. ET to watch President Obama speak about the successes of the Affordable Care Act. https://t.co/7FsQXut07O,20/10/2016 16:54
There's a lot of misinformation floating around. Make sure you've got the facts—join the @OFA Truth Team:… https://t.co/SpfRFK5LWq,20/10/2016 15:35
"From coast to coast, editorial boards are denouncing Senate obstructionism. Take a look: https://t.co/vqDr2bBiVr #DoYourJob",19/10/2016 20:10
"Our Supreme Court has been short a justice for far too long. #DoYourJob, Senate leaders. https://t.co/yJlejtHjr0",19/10/2016 18:07
The need for a ninth justice is undeniably clear. #DoYourJob https://t.co/L1EBgNbh3Q,19/10/2016 15:09
We can't afford to let this be the new normal. https://t.co/nJzyfz2Zlw #ActOnClimate,18/10/2016 20:00
Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/JZnvlb080l #ActOnClimate,18/10/2016 18:25
"Climate change is real, but so is the progress we're making to #ActOnClimate. Let's keep it up. https://t.co/GOFKXQblGJ",18/10/2016 17:10
This is just the latest step forward in the push to #ActOnClimate. https://t.co/UDInkidKkP,18/10/2016 15:45
Read why @FLOTUS is fighting to ensure that girls everywhere have access to quality education. https://t.co/xleq3HHSZt #LetGirlsLearn,17/10/2016 22:14
"Wildfires in the next few decades could be ""unrecognizable"" to previous generations—because of climate change: https://t.co/vM3xM6mCf3",17/10/2016 21:07
Senate leaders are blocking the Supreme Court nomination for their own political gain—don't be silent: https://t.co/OMdTVim0TC #DoYourJob,17/10/2016 18:46
Senate leaders have recognized Judge Garland's impeccable credentials in the past. He deserves a fair hearing and a… https://t.co/w9bPtpSmm7,17/10/2016 15:30
We need a fully functional Supreme Court. Editorial boards across the country agree: https://t.co/BkLrNaTtzN #DoYourJob,14/10/2016 21:17
The American Bar Association gave Judge Garland its highest rating. Senate leaders: #DoYourJob and fill the #SCOTUS… https://t.co/iTVTqGIUvV,14/10/2016 19:20
Denying climate change is dangerous. Join @OFA supporters in standing up for bold action now: https://t.co/7MDQGYgX2u #ActOnClimate,14/10/2016 17:31
"Cynics, take note: When we #ActOnClimate, we build a stronger future. https://t.co/wHHMdo2ro6",14/10/2016 16:18
"""That’s how we will overcome the challenges we face: by unleashing the power of all of us for all of us."" Read more: https://t.co/VxpwLIR4uF",13/10/2016 21:30
Check out the most recent editorial boards calling on Senate leaders to vote on Judge Garland: https://t.co/hzuhZYevfo #DoYourJob,13/10/2016 20:29
"Senate leaders have undercut the functionality of the Supreme Court, and that's unacceptable. #DoYourJob https://t.co/5HFXhgTMoP",13/10/2016 18:29
Senate leaders' political games are handicapping the Supreme Court—and judgeships across the country. https://t.co/PhKOBKXLmS #DoYourJob,13/10/2016 16:53
LIVE: President Obama is speaking at a reception celebrating #HispanicHeritageMonth. https://t.co/FK0ytbKw1q,12/10/2016 21:02
Support the bold steps we're taking against climate change. Say you're ready to #ActOnClimate: https://t.co/EtwjaKgYFW,12/10/2016 19:43
"Last week, more than 190 countries reached a landmark deal to reduce carbon pollution from aviation. https://t.co/LRYkXVw3rO #ActOnClimate",12/10/2016 17:57
Let's leave our children and grandchildren a planet that's healthier than the one we have today. #ActOnClimate https://t.co/mP29bpRdU9,12/10/2016 16:35
Climate change's effects are devastating. Denying the science behind it does nothing to help. https://t.co/Rww40wwgD9 #ActOnClimate,12/10/2016 15:25
"""On behalf of Michelle and our family, G’mar Chatimah Tovah."" —President Obama #YomKippur",11/10/2016 23:59
"""LGBT individuals deserve to know their country stands beside them."" —President Obama #NationalComingOutDay https://t.co/op7nBzbaod",11/10/2016 21:18
The Supreme Court must remain above politics. Judge Garland needs a hearing and a vote. #DoYourJob https://t.co/eVSPSIFNpB,11/10/2016 20:02
Don't stand idly by while Senate leaders continue to block Judge Garland from a fair hearing and vote: https://t.co/TSavHP3mHg #DoYourJob,11/10/2016 18:38
"Judge Garland is just as qualified now as he was in 1997, Senate leaders. It's time to #DoYourJob. https://t.co/j1lEkdMYV6",11/10/2016 17:26
Dispel misinformation with facts from the @OFA Truth Team. https://t.co/zjexLUJXAC,11/10/2016 15:31
"The uninsured rate is the lowest it's been in decades, thanks to #Obamacare. Spread the word.… https://t.co/ZkN8HVbn3E",07/10/2016 22:03
Deadline tonight—help rein in payday lenders that succeed by targeting vulnerable Americans: https://t.co/7OlpH6OFek #StopTheDebtTrap,07/10/2016 20:38
The Obama administration and @CFPB are working to protect consumers and #StopTheDebtTrap. https://t.co/UMO01OUkdh,07/10/2016 19:54
"Our economy is on a better, stronger course. https://t.co/yzB6x7CExJ",07/10/2016 18:02
The economic progress we've made is undeniable—let's keep it up. https://t.co/gAlfaC1hkI,07/10/2016 16:16
Check out President Obama's essay in @TheEconomist on the unique challenges the American economy faces. https://t.co/jKJNCrQALL,07/10/2016 15:14
"The economy added 156,000 jobs in September—extending the longest streak of total job growth on record.",07/10/2016 13:59
ICYMI: Read about the historic #ParisAgreement and what it means for the fight to #ActOnClimate. https://t.co/eMefgFZk53,06/10/2016 18:35
The cost of clean energy technology dropped significantly over the last eight years. Get the chart: https://t.co/fuGQMXeRYb #ActOnClimate,06/10/2016 15:48
This historic step in the fight to #ActOnClimate came faster than anyone predicted. https://t.co/W2rtcNXkI7,05/10/2016 21:30
"""Today is a historic day in the fight to protect our planet for future generations."" —President Obama #ActOnClimate https://t.co/x3dJSCYUcj",05/10/2016 20:44
LIVE: President Obama is delivering a statement on the Paris Climate Agreement. https://t.co/mNpQ6QyA91,05/10/2016 19:30
Read from @NYTopinion about why filling the Supreme Court vacancy is crucial for our democracy: https://t.co/zuSWzxSaqW #DoYourJob,05/10/2016 15:50
Enough is enough. Say it's time for Senate leaders to get to work: https://t.co/2M789YIcBk #DoYourJob,04/10/2016 20:30
"""Everybody cares about their kids, their grandkids, and the kind of world we pass on to them."" —President Obama https://t.co/cfxpSBNWIU",04/10/2016 18:28
Take what matters with you. https://t.co/E0hXWSu1q3 https://t.co/KJJdkE8DML,04/10/2016 16:53
"We've come a long way, but the fight for fairness and an economy that works for everyone continues. https://t.co/WWRhZHwYWE",04/10/2016 15:08
Side-by-side for 24 years. Here's to many more. #HappyAnniversary https://t.co/nh8Xfc7IWU,03/10/2016 18:24
Facts matter. Stay informed with the @OFA Truth Team: https://t.co/O8PhOX5jJ3,03/10/2016 15:30
"In the weekly address, President Obama discusses why access to paid leave is so important. https://t.co/q9kDEqYs5u #LeadOnLeave",01/10/2016 14:46
Parents shouldn't have to choose between a paycheck and taking care of a sick child at home. #LeadOnLeave https://t.co/FF4hTkgOZy,30/09/2016 21:32
"After thirty years in Congress, Senator, this should not be your proudest accomplishment. https://t.co/FwGAJsBCoo… https://t.co/86F1fhUWsp",30/09/2016 20:11
We need a fully functioning Supreme Court. Speak up if you agree it's time for a hearing and a vote: https://t.co/d6nmum1Ut7 #DoYourJob,30/09/2016 17:47
"There has never been a more qualified nominee, Senate leaders. He deserves a fair hearing and a vote. #DoYourJob https://t.co/qtzcY3iwyl",30/09/2016 15:57
It's the Senate's job to fairly consider Supreme Court nominees. Their refusal to do so is unacceptable: https://t.co/s8FdCa0tq6 #DoYourJob,29/09/2016 21:55
"""Everybody gets sick."" Check out what President Obama is doing to extend access to paid sick leave: https://t.co/gOAc2HAkQg #LeadOnLeave",29/09/2016 19:41
Never underestimate the strength and resilience of the American economy. https://t.co/OFTN2FlRtq,29/09/2016 16:33
The @OFA Truth Team makes it easy to stay informed. Join today: https://t.co/Q0axQYyJY1,28/09/2016 17:49
"This is no accident—we're making a comeback because together, we've fought hard to support American families. https://t.co/LTk7SiTexP",28/09/2016 15:16
We're better off than we were eight years ago. https://t.co/OwrTM3V78t,27/09/2016 21:04
"Household incomes are up, and the poverty rate is down across all demographics. https://t.co/cEIdPJuuvR",27/09/2016 19:42
"As long as Senate leaders keep refusing to do their jobs, @OFA supporters will continue speaking out against their… https://t.co/DkmDKpMhOw",27/09/2016 16:57
Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/AGrUjJTnST #DoYourJob,27/09/2016 15:28
"Important, tough conversations require solid facts. Get them from the @OFA Truth Team: https://t.co/5YH9zVeayn https://t.co/dD1EPgaA9W",26/09/2016 20:58
"These are high praises from the American Bar Association—and yet, Senate leaders refuse to even consider Judge Garl… https://t.co/ryPFLZDAhY",26/09/2016 18:59
Senate leaders' unprecedented obstruction of the Supreme Court nomination must end. Your voice matters: https://t.co/yhy8al1FK7 #DoYourJob,26/09/2016 17:27
The American people are waiting for Senate leaders to do their jobs. https://t.co/LNqAQpxMle,26/09/2016 15:55
Senate leaders have blocked Judge Garland's hearing for over six months now. Keep pushing: https://t.co/peV6aCYswa #DoYourJob,23/09/2016 21:12
"Senate leaders need to work for the good of the American people, not seek out political points. https://t.co/Tdx3xk6gYi",23/09/2016 20:05
Watch President Obama and @CEAChair Jason Furman discuss the positive gains the American economy has made. https://t.co/J28Crn3WAP,23/09/2016 19:03
Here are 16 broken records we shouldn't be proud of. https://t.co/x98dGgEloW,23/09/2016 18:02
Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/GVTL4HrTXw,23/09/2016 16:57
"Another record broken: 16 months in a row of undeniable, record-breaking heat.
https://t.co/qMAH7nFf5I #ActOnClimate",23/09/2016 15:57
Happy #FirstDayofFall. https://t.co/ix02MNuOud,22/09/2016 22:18
We can't sit idly by. Climate change is likely to threaten our national security—we must act now.… https://t.co/6QQmpf27W0,22/09/2016 21:21
Judge Garland is highly qualified for the bench—even some Senate leaders who are now blocking his hearing have agre… https://t.co/D5ScOCikVl,22/09/2016 19:00
Senate leaders' blind obstruction of Judge Garland's nomination sets a dangerous precedent. We can't stand idly by. https://t.co/k76I6DCDRI,22/09/2016 17:34
"Enough of the shameless partisanship, Senators. #DoYourJob and fill the Supreme Court vacancy. https://t.co/vIQY0bivo4",22/09/2016 15:58
Help keep the pressure on Senate leaders to give Judge Garland a fair hearing before their next recess. https://t.co/lkLz4yidaw #DoYourJob,21/09/2016 19:58
The American Bar Association gave Judge Garland its highest possible rating. He deserves a hearing and a vote.… https://t.co/FUVmGKdZgB,21/09/2016 17:53
"""Their right to inherit a healthy planet is a sacred responsibility."" —President Obama #ActOnClimate https://t.co/MYumi6xiIW",21/09/2016 16:34
Communities are already experiencing the effects of climate change—we can't afford not to act. Take a look:… https://t.co/sEjVzKqhsw,21/09/2016 14:57
"As the #UNGA meets, take a look at the progress we've made thanks to American leadership in the world. https://t.co/b4T0zGccLH",20/09/2016 19:31
LIVE: President Obama is speaking at the 71st Session of the United Nations General Assembly. https://t.co/J8cm9QquER #UNGA,20/09/2016 14:30
LIVE: President Obama is delivering a statement in New York. https://t.co/MJUr8C84Wd,19/09/2016 15:24
President Obama commemorates #HispanicHeritageMonth in an address to @CHCI. https://t.co/oTVX7zOyFD,16/09/2016 22:24
Senate leaders are putting politics above their basic responsibility to hold a hearing for Judge Garland. #DoYourJob https://t.co/N7vH2ncwmb,16/09/2016 21:23
"Six months is long enough, senators. It's time to #DoYourJob and give Judge Garland a hearing. https://t.co/A2Yedmhuw6",16/09/2016 19:55
"The Supreme Court should remain above partisan politics, Senator. https://t.co/DlWud7Rh3K #DoYourJob https://t.co/Wjd96qn9Hf",16/09/2016 17:24
Progress starts with a conversation. Make sure you have the facts to get yours started: https://t.co/MxWdiJxz4o https://t.co/Q3iP0Jwg1t,16/09/2016 15:54
"When we protect our lands and waters, it helps us protect our climate for future generations. #ActOnClimate https://t.co/8tygZI0TDR",15/09/2016 21:24
"""There is no 'election year' exception in Article II."" Sen. Leahy calls on senators to give Judge Garland a hearing: https://t.co/VjxClMdqUg",15/09/2016 18:51
"President Obama just made history by protecting nearly 5,000 square miles off the New England coast. https://t.co/i8MAFYU60k #OurOcean",15/09/2016 16:39
LIVE: President Obama is speaking at the 2016 Our Ocean Conference. https://t.co/ALK46jhUpw #OurOcean,15/09/2016 15:15
We need nine justices for a fully functioning Supreme Court—and editorial boards across the country agree. https://t.co/WD42qmgXpO,14/09/2016 20:45
We can't let Senate leaders ignore their constitutional responsibilities. https://t.co/ExY5wZcWi6 #DoYourJob https://t.co/IwO7CAoVm2,14/09/2016 17:50
Stay informed. Stay engaged. Speak up. Join the @OFA Truth Team: https://t.co/b0eae4PXDX,14/09/2016 16:40
The U.S. is on track to hit two million solar installations within the next two years. Momentum is building: https://t.co/dTb4M3J4MY,14/09/2016 15:24
Time is almost up for Senate leaders to do the right thing and fill the #SCOTUS vacancy. https://t.co/rPbzUkZAUE #DoYourJob,13/09/2016 21:14
"Median household income: ⬆
Poverty rate: ⬇
Uninsured rate: ⬇

Middle-class economics works. https://t.co/ThPXBSux09",13/09/2016 20:09
"In 2015, we saw the fastest household income growth on record and the largest drop in the poverty rate since 1968. https://t.co/Kyw1vuhont",13/09/2016 19:11
The Supreme Court must remain above partisanship. Senate leaders: The time to fill the vacant seat is now. https://t.co/7mmbuXjsPO,13/09/2016 15:00
ICYMI: This is a really big deal. https://t.co/raNeUV5fRd,12/09/2016 20:24
"Vice President Biden speaks on the ""dangerous precedent"" Senate leaders are setting by refusing to do their jobs. https://t.co/W1A7Oyb4gB",12/09/2016 18:55
These are records we can't keep breaking. We must work together to #ActOnClimate. https://t.co/sTxNR10sjK,12/09/2016 17:36
Meaningful action on climate change can't wait. President Obama explains why in this @nytimes interview. https://t.co/zbaDcpztIW,12/09/2016 15:09
"We need to keep up efforts to fight climate change at every level—locally, nationally, globally. #ActOnClimate https://t.co/L10qdkgPDg",09/09/2016 21:05
Senate leaders are back in session. Keep the pressure high—call out their obstructionism. https://t.co/eThTUbIMH0 #DoYourJob,09/09/2016 19:16
There's no need to overcomplicate the process. #DoYourJob https://t.co/QgaNgKNBzJ,09/09/2016 17:47
We must take bold steps now—climate change is already impacting millions of people. https://t.co/ZWBgt0XEWt #ActOnClimate,09/09/2016 15:08
"Congress is back, and they have important work to do before their next recess. Make sure you say where you stand: https://t.co/Ll1Croa3Ui",08/09/2016 19:39
Stay in the loop with important facts. Join @OFA's Truth Team: https://t.co/2KkNrPgHPL https://t.co/FDOocrpQvU,08/09/2016 17:39
Rising sea levels are already flooding homes and roads along America's coasts. The time to #ActOnClimate is now. https://t.co/OplSsyTHEX,07/09/2016 21:47
"Fewer Americans are uninsured than ever before, thanks to #Obamacare. https://t.co/tFbGtiPzWL",07/09/2016 20:00
Congress is back from recess. Help put the pressure on Senate leaders to give Judge Garland a hearing: https://t.co/F4eATpElMT #DoYourJob,07/09/2016 17:48
The process is clear. The Supreme Court and American people are waiting for Senate leaders to get to work. https://t.co/1YzeZLIcAT,07/09/2016 15:53
Senate leaders have 32 days before their next recess to give Judge Garland a hearing and a vote. Call them out now: https://t.co/IV1AGOEDag,06/09/2016 21:57
"The Paris Climate Agreement is a big deal in the fight against climate change—and now, a big step closer to reality. https://t.co/5vd6n0BFgG",06/09/2016 20:19
The United States is leading the way in the fight to #ActOnClimate. https://t.co/vkUMjg6XKc,06/09/2016 18:57
"Conservation not only protects diverse lands and species, it's also an important part of battling climate change. https://t.co/gjvhHNPFKL",06/09/2016 16:58
"""When we protect our lands, it helps us protect the climate for the future."" —President Obama #ActOnClimate https://t.co/qdoCgYPQom",06/09/2016 15:03
President Obama has a message for America's workers today—check it out: https://t.co/KlPj1YGeQ4 #LaborDay https://t.co/qzbHAfRXNs,05/09/2016 16:03
"In the weekly address, President Obama commemorates the labor movement that helped build this country. https://t.co/JsZvcpTyee",03/09/2016 17:01
"Recess is almost over, and editorial boards across the country are calling for Senate leaders to do their jobs. https://t.co/Pr78WaT0V2",02/09/2016 22:27
"When Americans stand together, there's no challenge too great to solve—not even climate change. #ActOnClimate today: https://t.co/5mqlv3ZXas",02/09/2016 19:59
"Unemployment: ⬇
Deficits: ⬇
Uninsured rate: ⬇
Jobs: +15.1 million https://t.co/mWcAgfM8zn",02/09/2016 18:28
"It's been a long road, but we're far better off than we were eight years ago. https://t.co/o8UdtCezYE",02/09/2016 17:01
"The economy added 151,000 jobs in August—extending the longest streak of total job growth on record.",02/09/2016 15:10
Senate leaders return from recess next week. They need to get to work on a vote for Judge Garland—say so. https://t.co/pdRYkz7kFV #DoYourJob,01/09/2016 21:06
"Recess is almost over, and editorial boards across the country are calling for Senate leaders to do their jobs. https://t.co/ScbkMVcovu",01/09/2016 19:33
"Stay in the loop with important facts, brought to you weekly. Join @OFA's Truth Team: https://t.co/YNdzkLi9cb",01/09/2016 16:00
Senate leaders need to hear you expect a vote on Judge Garland when recess ends—say you'll let them know: https://t.co/ETmcpsRRY6 #DoYourJob,31/08/2016 19:42
We can't afford to have a Supreme Court that's short-handed. Here's why: https://t.co/XcIRdewObs,31/08/2016 17:38
"The American people need their legislators to be dedicated to solutions, not obstruction. #DoYourJob https://t.co/mrTXe8sti6",31/08/2016 16:24
Senate leaders have a job to do—join the thousands reminding them when they reconvene next week. https://t.co/FWsdVnejYH #DoYourJob,30/08/2016 22:17
"Summer's almost over, Senate leaders. #DoYourJob https://t.co/JOEchACJ6i",30/08/2016 20:03
"Have meaningful, fact-based conversations. Join OFA's Truth Team: https://t.co/R0cSASIGew. https://t.co/Fs4esnNcdD",30/08/2016 18:08
Show off your pride in this movement—grab your Organizing&amp; tee: https://t.co/lFFWUSZljm. https://t.co/htUFnTNn28,30/08/2016 15:35
Senate leaders must put country before party politics. Read why it's time to give Judge Garland a vote. https://t.co/zipWl7JgU2,29/08/2016 21:15
It's not too late for Senate leaders to give Judge Garland a fair hearing and up-or-down vote. Say you agree. https://t.co/p48z2I8Mvr,29/08/2016 19:10
"Obstruction—especially when it comes to the Supreme Court—is nothing to be proud of, @SenateMajLdr. #DoYourJob https://t.co/FwsAnwqNH2",29/08/2016 17:19
President Obama continues his track record of protecting millions of acres of federal land and water. Take a look: https://t.co/J2GXikEUvR,26/08/2016 21:58
Speaking up is the first step. Let's build on our progress one conversation at a time. #WomensEqualityDay https://t.co/a0poSyIiqP,26/08/2016 20:14
Say you'll continue the fight to make gender equality a reality in America: https://t.co/XusbC9I8l3 #WomensEqualityDay,26/08/2016 18:45
"We've come a long way, but there's still more to do to make sure women are truly treated equally. #WomensEqualityDay https://t.co/B7C0Nk27T5",26/08/2016 17:03
"Organize for change in your community, and look good doing it. https://t.co/1Flbtn2PQQ https://t.co/e5TkkUQI1A",26/08/2016 15:34
"""These are our American cathedrals, and they belong to you."" —Jonathan B. Jarvis, director of the @NatlParkService https://t.co/NbAXewqVsA",25/08/2016 22:13
"Happy 100th birthday, @NatlParkService. Here's to the next 100. #NPS100 https://t.co/LGShTB9l4x",25/08/2016 20:24
We need nine Supreme Court justices. The Senate needs to do its job and vote on Judge Garland: https://t.co/VbPUcviyZ2 #DoYourJob,24/08/2016 21:35
This is nothing more than shameless partisanship. The Supreme Court should be held in higher regard. #DoYourJob https://t.co/I0TN3csv0O,24/08/2016 20:32
Get important news delivered straight to your inbox—join the @OFA Truth Team: https://t.co/CQa3WGnBcB,24/08/2016 18:44
"Rhode Island just built America's first offshore wind farm, which will create clean energy and fight climate change. https://t.co/76pwc0JM3m",24/08/2016 16:30
America's leadership in the fight against climate change pays off in more ways than one. #ActOnClimate https://t.co/tGK9Uu5l0C,24/08/2016 15:17
We can't wait any longer to restore our Supreme Court to full capacity. Tell Senate leaders: It's time for a vote. https://t.co/INKhdtm2rn,22/08/2016 22:12
The Supreme Court isn't some partisan football to be kicked around. Senate leaders should stop treating it like one. https://t.co/akIkPCcxUM,22/08/2016 19:31
"Read why the Supreme Court needs nine justices, not shameless partisanship. https://t.co/8p9l6bSPcq",22/08/2016 17:45
Get the facts. Cut through the noise with the @OFA Truth Team: https://t.co/4YNdcmVTED https://t.co/OlBqKSgLUZ,22/08/2016 16:07
"""We’ve protected more than 265 million acres of public lands and waters."" —President Obama https://t.co/TyJS4eBFr5",20/08/2016 17:08
"In the weekly address, President Obama commemorates the 100th anniversary of the @NatlParkService. https://t.co/TyJS4eBFr5",20/08/2016 16:04
Another record broken. https://t.co/sw9XGUXWqX #ActOnClimate,19/08/2016 19:16
Our children's health and prosperity is too important to ignore the consequences of climate change. Speak out now: https://t.co/rNIKnWI2K2,19/08/2016 17:14
Climate change is not too big of a challenge to solve. We're making good headway. #ActOnClimate https://t.co/s2yzyDqvNR,19/08/2016 15:17
“Each month just gives another data point that makes the evidence stronger that we’re changing the climate.” https://t.co/QbFZXySQ86,18/08/2016 21:59
Fifteen months in a row of record-breaking heat is a signal that can't be denied: We need to #ActOnClimate. https://t.co/pXnbiNYFP9,18/08/2016 20:57
"Get the facts, not the fluff—join the OFA Truth Team: https://t.co/ssz4MCTj7s",18/08/2016 16:57
Carry what you need while organizing for change. https://t.co/PcxJtQcx2I https://t.co/cVvj9b3Mnq,18/08/2016 15:50
New standards for heavy-duty trucks will cut 1.1 billion metric tons of carbon pollution through 2027. https://t.co/1BncKu28M3,17/08/2016 21:18
Call on Congress to #DisarmHate. Add your name to support common-sense gun legislation: https://t.co/YvBX3rPILx,17/08/2016 19:46
We shouldn't accept this as normal. #DisarmHate https://t.co/tqmaTawXXX,17/08/2016 17:06
Doing nothing won't stop our country's gun violence epidemic. Congress must act to #DisarmHate. https://t.co/0kbF22nnm4,17/08/2016 15:39
We’re taking important steps to help guarantee the basic security of paid family leave. https://t.co/yvRhINmIGA #LeadOnLeave,16/08/2016 18:48
Senate leaders must stop obstructing our Supreme Court. Take a stand and show your support. https://t.co/1AaykUkmvn #DoYourJob,16/08/2016 16:34
Reminder: It's the Senate's job to fairly consider Supreme Court nominees. #DoYourJob https://t.co/xrkYcRsLNw,16/08/2016 14:52
"Today, thousands of young DREAMers are able to fully contribute to our communities and our economy. https://t.co/szjWDVYm9X",15/08/2016 20:48
Judge Garland deserves a fair hearing and an up-or-down vote. Add your voice and show your support: https://t.co/OVDjQVdx3v #DoYourJob,15/08/2016 18:50
It’s not too late. Senate leaders can still make this right and give Judge Garland an up-or-down vote. https://t.co/ysc4UvluR0,15/08/2016 17:07
Editorial boards around the country agree: Our judicial system is too important to be used as a political football. https://t.co/f1INOTKcmL,15/08/2016 15:31
"""There's no doubt that America has become a global leader in the fight against climate change."" —President Obama https://t.co/nuI6cbADqm",13/08/2016 18:56
"In the weekly address, President Obama discusses progress made in combating climate change—and what's left to do. https://t.co/nuI6cbADqm",13/08/2016 17:44
Let's be clear: Senate leaders are playing political games with the Supreme Court. #DoYourJob https://t.co/EpPURJ3Dwa,12/08/2016 21:55
The Clean Power Plan will improve the future health and well-being of our children and families. #ActOnClimate https://t.co/Kw09SczeRv,12/08/2016 20:08
"Not long ago, women could be charged more for health insurance—for being women. There's more to do: https://t.co/YQE99FTIoH #StandWithWomen",12/08/2016 18:39
